authorId,firstName,lastName
2051880869,V.,Frydman
12794436,U.,Pinar
1630854542,M.,Abdessater
48696712,W.,Akakpo
50102448,P.,Grande
11816290,M.,Audouin
3046790,P.,Mozer
1398196754,E.,Chartier-Kastler
7566104,T.,Seisen
31607595,M.,Rouprêt
2964350,T.,Cherrett
9140912,R.,Balan
2065465774,Eddie,Wilson
3239088,L.,Fagerström
2401563769,Dr.,G. Gayatri Tanuja
2401563757,Chethana,T. V
118498472,Hadyati,Harras
9683371,C.,Petus
13866178,E.,D. da Silva
40193126,M.,Devlin
40324729,A.,Wenger
1398493888,J.,Álvarez-Romero
2385724715,Yoga,Wahyu Pratama
2385724721,Fransiska,Prihatini
2385722117,Orissa,Octaria
2284696266,Ahmad,Farisi
2385724745,Mardiani,Mardiani
1402327802,G.,Campbell‐Salome
40162696,A.,Buchanan
48839538,M.,Hallquist
3201582,A.,Rahm
39678394,H.,Rocha
31246491,A.,Sturm
101533533,Y.,Sundari
116676713,Y.,Setiadi
120096483,Mohamad‐Amin,Nasr
98649414,Ehsan,Nasr-Azadani
2623015,A.,Rabiee
12083512,S.,Hosseinian
2306078536,S.,Budiman
69846602,S.,Suprayogi
2217751,Sarah,Knerr
31652966,E.,Hu
2916713,S.,Zeliadt
40898151,E.,Umana
118082494,J.,Foley
2392348684,I.,Grossi
3944709,C.,Deasy
2341562439,Francis,O’Keeffe
48433374,Andrew,Patton
1734923986,M.,Jee
2166954430,J.,Mulcaire
2241649106,Ahmed,Ahmed
34792345,C.,D. Vecchia
16288202,N.,Vainberg
2166954283,Hugh,O’ Reilly
2055501601,J.,Daly
2166954548,Cathal,de Buitléir
2358607529,Conor,Prendergast
47402167,Randa,M. Ibrahim
1675339052,S.,Kukaswadia
144175302,Kyungwon,Lee
4392072,S.,Jang
66406587,Hee-Joo,Lee
8083387,N.,Ryoo
3768036,Myungshin,Kim
3702858,S.,Hong
48497368,Y.,Chong
2410648945,Swati,Kumari
4702521,A.,Bharucha
5933824,M.,Gantz
145215130,S.,Rao
2438447,A.,Lowry
7430577,H.,Chua
8343465,T.,Karunaratne
144527774,Jennifer,M Wu
143763597,F.,Hamilton
4849559,W.,Whitehead
2114626255,R.,Gozzer-Wuest
1423414171,Enrique,Alonso-Población
2050407004,Stefany,Rojas-Perea
1403026603,R.,Roa-Ureta
2334795089,Mushtaq,Ahmad Jan
2334795778,Muhammad,Kaleem
2334795713,Safi,Ullah
2334793422,Noor,Ul Huda
2334794261,Dr,Dilkash Sapna
2238413437,Laura,S. Wood
40443960,Michael,P. Meara
1871186741,Heidi,Pieper
2211162071,Mallory,C. Shields
15198555,Ingrid,A. Woelfel
2188127737,Theresa,N. Wang
145011767,David,Renton
2116118441,X.,Chen
2363614923,Lahoucine,Oumiguil
2363619091,Ali,Nejmi
2281803289,Yu,Ke
2265481189,Yin,Bun Cheung
2250308570,Marie,A. Bakitas
2265480922,J.,N. Odom
2281810175,Elaine,Lum
2291153346,Daniel,Shao
2304619285,W.,Tan
2249167529,T.,Tan
2267716139,E.,Finkelstein
2280400162,Hong,Choon Oh
2108884979,Siqin,Zhou
3707114,G.,Yang
2370398644,Takondwa,Msapato
2370338997,Alfred,Maluwa
2338474766,Shatha,Alharbi
145488737,G.,Harsh
12399019,Abdulrazag,M. Ajlan
143655747,P.,Baptista
48078608,R.,Ambrósio
145633241,Luís,Oliveira
6735462,P.,Menéres
3714485,J.,Beirão
2035066888,Anna-Elisa,Hein
6725728,B.,Vrijens
3507328,M.,Hiligsmann
2002913,Arijit,Ukil
2371958,S.,Bandyopadhyay
35702066,Abhijan,Bhattacharyya
143725290,A.,Pal
1956965,Tulika,Bose
47855970,D.,Scott
15424315,Hon-Ming,Andrew Tung
32781064,R.,Slater
6135110,R.,Spetzler
46551456,F.,Ponce
1767296,Pierre,Bourreau
1693416,R.,Chbeir
2357985,Yudith,Cardinale
2014051,Aitor,Corchero
1380802221,Jérôme,Lafréchoux
152418038,David,Frédérique
3054548,Khouloud,Salameh
31597619,G.,Calis
1380802259,Rafael,Constantinou
27065979,Lara,Kallab
7271286,G.,Pasaoglu
4526756,S.,Bavbek
4115144,H.,Tuğcu
9792425,O.,Abadoglu
4662211,Z.,Mısırlıgil
2108847,Abhijit,Suprem
1934939,N.,Mahalik
69848821,Kiseon,Kim
2095302931,Svitlana,Chukanova
2298076784,M.,Shukla
1904651437,Taryn,Amberson
14261718,Tara,N Heagele
2284586591,C.,McNeill
2298188269,Lavonne,M. Adams
2298187711,K.,Ndayishimiye
2276418397,J.,Castner
2321000477,Hanesh,F. Chi
2321001299,Christophe,B. Kengne
147621625,M.,Ulfa
100822066,Shalahuddin,Shalahuddin
5573975,M.,Muscatello
47997715,G.,M. Troili
48060902,G.,Pandolfo
4075587,C.,Mento
47049943,Giuseppa,Gallo
40060807,Giulia,Lanza
6160254,B.,Pintaudi
8021089,G.,Di Vieste
47462246,A.,Di Benedetto
8353337,R.,Zoccali
143919377,A.,Bruno
52068742,P.,V. D. Hombergh
122612853,R.,Grol
66104859,H.,Hoogen
145531975,W.,V. D. Bosch
2054665745,Xiao,Xin
7701926,R.,Carnagarin
11925892,P.,Mwipatayi
5776460,M.,Schlaich
47806559,A.,Garcia
2249990378,W.,A. Godoy
7337341,J.,Cardina
49271346,D.,Sparrow
145956749,E.,Mccoy
73225499,Caterina,Galluccio
3443620,M.,Germanotta
