conferenceId,name
"conference::acm sigmobile international conference on mobile systems, applications, and services","ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services"
conference::(jems) jurnal entrepreneur dan manajemen sains,(JEMS) Jurnal Entrepreneur dan Manajemen Sains
conference::iet renewable power generation,IET Renewable Power Generation
conference::earth systems and environment,Earth Systems and Environment
conference::marine policy,Marine Policy
conference::video journal of biomedicine,Video Journal of Biomedicine
"conference::2025 5th international conference on innovative research in applied science, engineering and technology (iraset)","2025 5th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)"
conference::proceedings of the 2019 european conference on computing in construction,Proceedings of the 2019 European Conference on Computing in Construction
conference::ukrainian journal on library and information science,Ukrainian Journal on Library and Information Science
conference::2020 5th international conference on electromechanical control technology and transportation (icectt),2020 5th International Conference on Electromechanical Control Technology and Transportation (ICECTT)
conference::journal of hypertension,Journal of Hypertension
conference::weed science,Weed science
conference::asian-australasian journal of food safety and security,Asian-Australasian journal of food safety and security
conference::forests,Forests
conference::international journal of agriculture environment and bioresearch,International Journal of Agriculture Environment and Bioresearch
conference::anesthesia and analgesia,Anesthesia and Analgesia
conference::british journal of surgery,British Journal of Surgery
conference::international conference on intelligent cloud computing,International Conference on Intelligent Cloud Computing
conference::british journal of dermatology,British Journal of Dermatology
conference::problems and perspectives in management,Problems and Perspectives in Management
conference::kanzo,Kanzo
conference::fisheries research,Fisheries Research
conference::indian journal of neurotrauma,Indian Journal of Neurotrauma
conference::journal of the japanese association of rural medicine,JOURNAL OF THE JAPANESE ASSOCIATION OF RURAL MEDICINE
conference::internal medicine journal (print),Internal medicine journal (Print)
conference::jane - jurnal administrasi negara,JANE - Jurnal Administrasi Negara
conference::frontiers in oncology,Frontiers in Oncology
conference::international journal of productivity and performance management,International Journal of Productivity and Performance Management
conference::bmc medical education,BMC Medical Education
conference::lecture notes in computer science,Lecture Notes in Computer Science
conference::lékař a technika,Lékař a technika
conference::transportation research part c: emerging technologies,Transportation Research Part C: Emerging Technologies
"conference::ieee uttar pradesh section international conference on electrical, computer and electronics engineering","IEEE Uttar Pradesh Section International Conference on Electrical, Computer and Electronics Engineering"
conference::the international journal of science and society,The International Journal of Science and Society
conference::intelligent systems and networks,Intelligent Systems and Networks
conference::diversity,Diversity
"conference::nephrology, dialysis and transplantation","Nephrology, Dialysis and Transplantation"
conference::american journal of industrial and business management,American Journal of Industrial and Business Management
conference::journal of soil and water conservation,Journal of Soil and Water Conservation
conference::jurnal manajemen agribisnis (journal of agribusiness management),JURNAL MANAJEMEN AGRIBISNIS (Journal Of Agribusiness Management)
conference::apcc/mdmc '04. the 2004 joint conference of the 10th asia-pacific conference on communications and the 5th international symposium on multi-dimensional mobile communications proceeding,APCC/MDMC '04. The 2004 Joint Conference of the 10th Asia-Pacific Conference on Communications and the 5th International Symposium on Multi-Dimensional Mobile Communications Proceeding
conference::proceedings of the 8th international congress on environmental geotechnics volume 2,Proceedings of the 8th International Congress on Environmental Geotechnics Volume 2
conference::applied sciences,Applied Sciences
conference::revista argentina de cardiología,Revista Argentina de Cardiología
conference::tree genetics & genomes,Tree Genetics & Genomes
conference::osteoporosis international,Osteoporosis International
conference::european journal of forest research,European Journal of Forest Research
conference::nature genetics,Nature Genetics
conference::revista amazonía investiga,Revista Amazonía investiga
conference::proceedings of the 6th international conference on management science and management innovation (msmi 2019),Proceedings of the 6th International Conference on Management Science and Management Innovation (MSMI 2019)
conference::2025 7th international conference on electrical engineering and control technologies (ceect),2025 7th International Conference on Electrical Engineering and Control Technologies (CEECT)
"conference::international conference on wireless communications, networking and mobile computing","International Conference on Wireless Communications, Networking and Mobile Computing"
conference::zbornik radova,Zbornik radova
conference::bmj global health,BMJ Global Health
conference::revista interamericana de bibliotecología,Revista Interamericana de Bibliotecología
conference::indian journal of gastroenterology,Indian Journal of Gastroenterology
conference::cases on digital strategies and management issues in modern organizations,Cases on Digital Strategies and Management Issues in Modern Organizations
conference::journal of pure and applied microbiology,Journal of Pure and Applied Microbiology
conference::international journal of academic research in business and social sciences,International Journal of Academic Research in Business and Social Sciences
conference::jurnal teknologi  dan sistem informasi bisnis,Jurnal Teknologi  Dan Sistem Informasi Bisnis
conference::new directions in cultural policy research,New Directions in Cultural Policy Research
conference::asia pacific journal of tourism research,Asia Pacific Journal of Tourism Research
