city,editionId,name,year
London,"edition::acm sigmobile international conference on mobile systems, applications, and services::2012","ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services",2012
Sydney,edition::(jems) jurnal entrepreneur dan manajemen sains::2022,(JEMS) Jurnal Entrepreneur dan Manajemen Sains,2022
Sydney,edition::iet renewable power generation::2019,IET Renewable Power Generation,2019
Berlin,edition::earth systems and environment::2025,Earth Systems and Environment,2025
London,edition::marine policy::2022,Marine Policy,2022
Berlin,edition::video journal of biomedicine::2023,Video Journal of Biomedicine,2023
London,"edition::2025 5th international conference on innovative research in applied science, engineering and technology (iraset)::2025","2025 5th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",2025
Paris,edition::2014 ieee international conference on pervasive computing and communication workshops (percom workshops)::2014,2014 IEEE International Conference on Pervasive Computing and Communication Workshops (PERCOM WORKSHOPS),2014
Berlin,edition::proceedings of the 2019 european conference on computing in construction::2019,Proceedings of the 2019 European Conference on Computing in Construction,2019
Singapore,edition::ukrainian journal on library and information science::2018,Ukrainian Journal on Library and Information Science,2018
Sydney,edition::2020 5th international conference on electromechanical control technology and transportation (icectt)::2020,2020 5th International Conference on Electromechanical Control Technology and Transportation (ICECTT),2020
Tokyo,edition::journal of hypertension::2023,Journal of Hypertension,2023
Sydney,edition::weed science::1996,Weed science,1996
Berlin,edition::asian-australasian journal of food safety and security::2020,Asian-Australasian journal of food safety and security,2020
Paris,edition::forests::2019,Forests,2019
Paris,edition::international journal of agriculture environment and bioresearch::2020,International Journal of Agriculture Environment and Bioresearch,2020
Singapore,edition::anesthesia and analgesia::2019,Anesthesia and Analgesia,2019
Barcelona,edition::british journal of surgery::2021,British Journal of Surgery,2021
Barcelona,edition::international conference on intelligent cloud computing::2025,International Conference on Intelligent Cloud Computing,2025
Barcelona,edition::british journal of dermatology::2000,British Journal of Dermatology,2000
New York,edition::problems and perspectives in management::2023,Problems and Perspectives in Management,2023
Sydney,edition::kanzo::2021,Kanzo,2021
London,edition::fisheries research::2018,Fisheries Research,2018
London,edition::indian journal of neurotrauma::2021,Indian Journal of Neurotrauma,2021
Sydney,edition::journal of the japanese association of rural medicine::2019,JOURNAL OF THE JAPANESE ASSOCIATION OF RURAL MEDICINE,2019
Singapore,edition::internal medicine journal (print)::2015,Internal medicine journal (Print),2015
Barcelona,edition::jane - jurnal administrasi negara::2022,JANE - Jurnal Administrasi Negara,2022
New York,edition::frontiers in oncology::2021,Frontiers in Oncology,2021
London,edition::international journal of productivity and performance management::2022,International Journal of Productivity and Performance Management,2022
Tokyo,edition::bmc medical education::2020,BMC Medical Education,2020
Berlin,edition::lecture notes in computer science::1996,Lecture Notes in Computer Science,1996
Berlin,edition::lékař a technika::2020,Lékař a technika,2020
Barcelona,edition::transportation research part c: emerging technologies::2019,Transportation Research Part C: Emerging Technologies,2019
New York,"edition::ieee uttar pradesh section international conference on electrical, computer and electronics engineering::2021","IEEE Uttar Pradesh Section International Conference on Electrical, Computer and Electronics Engineering",2021
Barcelona,edition::the international journal of science and society::2022,The International Journal of Science and Society,2022
Berlin,edition::intelligent systems and networks::2021,Intelligent Systems and Networks,2021
Barcelona,edition::diversity::2023,Diversity,2023
Tokyo,"edition::nephrology, dialysis and transplantation::2020","Nephrology, Dialysis and Transplantation",2020
London,edition::american journal of industrial and business management::2022,American Journal of Industrial and Business Management,2022
Barcelona,edition::journal of soil and water conservation::2011,Journal of Soil and Water Conservation,2011
New York,edition::jurnal manajemen agribisnis (journal of agribusiness management)::2021,JURNAL MANAJEMEN AGRIBISNIS (Journal Of Agribusiness Management),2021
Paris,edition::apcc/mdmc '04. the 2004 joint conference of the 10th asia-pacific conference on communications and the 5th international symposium on multi-dimensional mobile communications proceeding::2004,APCC/MDMC '04. The 2004 Joint Conference of the 10th Asia-Pacific Conference on Communications and the 5th International Symposium on Multi-Dimensional Mobile Communications Proceeding,2004
Berlin,edition::proceedings of the 8th international congress on environmental geotechnics volume 2::2018,Proceedings of the 8th International Congress on Environmental Geotechnics Volume 2,2018
Paris,edition::applied sciences::2022,Applied Sciences,2022
Sydney,edition::lecture notes in computer science::2003,Lecture Notes in Computer Science,2003
Tokyo,"edition::2009 ieee international symposium on a world of wireless, mobile and multimedia networks & workshops::2009","2009 IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks & Workshops",2009
