from,to
journal::basic and clinical andrology,volume::basic and clinical andrology::2021::9
journal::journal of nursing management,volume::journal of nursing management::2009::17
journal::international research journal on advanced science hub,volume::international research journal on advanced science hub::2025::9
journal::scientific journal of reflection,volume::scientific journal of reflection::2025::12
journal::journal of environmental management,volume::journal of environmental management::2014::3
"journal::mars : jurnal teknik mesin, industri, elektro dan ilmu komputer","volume::mars : jurnal teknik mesin, industri, elektro dan ilmu komputer::2025::16"
journal::patient education and counseling,volume::patient education and counseling::2020::2
journal::egems,volume::egems::2017::15
journal::bmc emergency medicine,volume::bmc emergency medicine::2022::19
journal::journal of korean medical science,volume::journal of korean medical science::2004::19
journal::journal of information systems engineering & management,volume::journal of information systems engineering & management::2026::10
journal::contemporary clinical trials,volume::contemporary clinical trials::2021::20
journal::indus journal of social sciences,volume::indus journal of social sciences::2024::12
journal::surgical endoscopy,volume::surgical endoscopy::2023::2
journal::bmc palliative care,volume::bmc palliative care::2024::16
journal::advances in sciences and arts,volume::advances in sciences and arts::2025::2
journal::neurosciences,volume::neurosciences::2018::3
journal::clinical ophthalmology,volume::clinical ophthalmology::2021::2
journal::frontiers in medical technology,volume::frontiers in medical technology::2020::1
journal::the journal of extra-corporeal technology,volume::the journal of extra-corporeal technology::2015::7
journal::journal of neurosurgery,volume::journal of neurosurgery::2011::15
journal::journal of dermatology (print),volume::journal of dermatology (print)::2006::10
journal::comput. stand. interfaces,volume::comput. stand. interfaces::2013::3
journal::international journal of environmental research and public health,volume::international journal of environmental research and public health::2024::16
journal::texila international journal of public health,volume::texila international journal of public health::2024::11
journal::al-rabwah,volume::al-rabwah::2023::10
journal::recenti progressi in medicina,volume::recenti progressi in medicina::2017::3
journal::quality in health care,volume::quality in health care::1999::19
journal::neotropical entomology,volume::neotropical entomology::2016::9
journal::journal of clinical medicine,volume::journal of clinical medicine::2024::6
journal::ieee international conference on industrial engineering and engineering management,volume::ieee international conference on industrial engineering and engineering management::2023::18
journal::journal of ethnopharmacology,volume::journal of ethnopharmacology::2019::5
journal::medrxiv,volume::medrxiv::2023::19
journal::asme journal of heat and mass transfer,volume::asme journal of heat and mass transfer::2023::8
journal::cochrane database of systematic reviews,volume::cochrane database of systematic reviews::2023::11
journal::neya global journal of non-profit studies,volume::neya global journal of non-profit studies::2025::1
journal::journal of behavior therapy and experimental psychiatry,volume::journal of behavior therapy and experimental psychiatry::1984::13
journal::international journal of disaster resilience in the built environment,volume::international journal of disaster resilience in the built environment::2023::16
journal::journal of humanities and social sciences studies,volume::journal of humanities and social sciences studies::2026::1
journal::journal of combinatorial mathematics and combinatorial computing,volume::journal of combinatorial mathematics and combinatorial computing::2025::8
journal::psychology and education: a multidisciplinary journal,volume::psychology and education: a multidisciplinary journal::2025::14
journal::gema lingkungan kesehatan,volume::gema lingkungan kesehatan::2025::5
journal::environmental science and pollution research international,volume::environmental science and pollution research international::2024::11
journal::biosfer: jurnal tadris biologi,volume::biosfer: jurnal tadris biologi::2022::2
journal::journal of islamic economics,volume::journal of islamic economics::2024::11
journal::journal of public health in africa,volume::journal of public health in africa::2025::7
journal::italian national conference on sensors,volume::italian national conference on sensors::2021::13
journal::tropical animal health and production,volume::tropical animal health and production::2025::19
journal::ieee international geoscience and remote sensing symposium,volume::ieee international geoscience and remote sensing symposium::2019::20
journal::italian national conference on sensors,volume::italian national conference on sensors::2023::20
journal::accounting,volume::accounting::2025::8
journal::journal of computational methods in sciences and engineering,volume::journal of computational methods in sciences and engineering::2025::12
journal::transplantation direct,volume::transplantation direct::2024::15
journal::italian national conference on sensors,volume::italian national conference on sensors::2025::20
journal::holistik jurnal kesehatan,volume::holistik jurnal kesehatan::2025::1
journal::pain research and management,volume::pain research and management::2024::16
journal::seminars in oncology nursing,volume::seminars in oncology nursing::2018::8
journal::acm/ieee international conference on model driven engineering languages and systems,volume::acm/ieee international conference on model driven engineering languages and systems::2022::13
journal::international journal of health care quality assurance,volume::international journal of health care quality assurance::2014::11
journal::fisheries research,volume::fisheries research::2015::19
journal::south eastern european journal of public health,volume::south eastern european journal of public health::2024::2
journal::journal of business and econometrics studies,volume::journal of business and econometrics studies::2025::12
journal::animals,volume::animals::2019::19
journal::be-hisz,volume::be-hisz::2024::14
journal::aslib journal of information management,volume::aslib journal of information management::2023::9
journal::international journal of health planning and management,volume::international journal of health planning and management::2021::7
journal::soviet economy,volume::soviet economy::2025::14
journal::transactions on emerging telecommunications technologies,volume::transactions on emerging telecommunications technologies::2023::6
journal::journal of governance innovation,volume::journal of governance innovation::2024::13
journal::strategic journal of business &amp; change management,volume::strategic journal of business &amp; change management::2019::15
journal::human systems management,volume::human systems management::2025::20
journal::journal of business & economics research,volume::journal of business & economics research::2024::4
journal::jurnal ilmiah pariwisata dan bisnis,volume::jurnal ilmiah pariwisata dan bisnis::2023::8
journal::bmc family practice,volume::bmc family practice::2011::20
journal::journal of pain and symptom management,volume::journal of pain and symptom management::1994::16
journal::jurnal pengabdian masyarakat dan inovasi teknologi tepat guna,volume::jurnal pengabdian masyarakat dan inovasi teknologi tepat guna::2025::2
journal::bmc public health,volume::bmc public health::2025::12
journal::canadian journal of psychiatry. revue canadienne de psychiatrie,volume::canadian journal of psychiatry. revue canadienne de psychiatrie::1986::2
journal::ajr. american journal of roentgenology,volume::ajr. american journal of roentgenology::2024::14
journal::the veterinary journal,volume::the veterinary journal::2013::13
journal::ieee transactions on control systems technology,volume::ieee transactions on control systems technology::2026::4
journal::brain pathology,volume::brain pathology::2023::17
journal::biosciences biotechnology research asia,volume::biosciences biotechnology research asia::2025::14
