isbn,publisher
978-843-120-510-084,Wiley
978-120-124-163-147,Elsevier
978-812-352-544-404,ACM
978-183-261-504-820,Wiley
978-324-340-163-310,IEEE
978-941-384-122-887,Wiley
978-412-444-782-230,Wiley
978-381-174-840-434,Springer
978-156-003-947-400,IEEE
978-320-227-483-752,Oxford University Press
978-446-243-193-890,ACM
978-904-703-247-125,IEEE
978-171-315-260-134,Springer
978-054-183-057-356,Springer
978-023-500-572-550,Oxford University Press
978-900-319-336-413,Oxford University Press
978-084-597-182-554,ACM
978-622-412-942-463,IEEE
978-345-197-287-584,IEEE
978-428-140-412-015,Springer
978-840-534-130-511,Wiley
978-528-241-903-256,Oxford University Press
978-025-327-382-250,Elsevier
978-131-224-410-054,Springer
978-674-732-575-508,IEEE
978-896-715-501-238,Springer
978-380-100-011-192,Elsevier
978-472-073-642-431,ACM
978-180-964-260-244,ACM
978-514-335-492-440,Springer
978-416-530-537-112,Springer
978-315-871-230-096,Wiley
978-104-323-428-265,Oxford University Press
978-685-031-470-099,ACM
978-911-131-436-322,IEEE
978-650-970-945-918,Wiley
978-536-009-243-345,Oxford University Press
978-512-545-510-304,Elsevier
978-506-632-105-645,ACM
978-961-307-782-254,Oxford University Press
978-052-743-484-180,IEEE
978-843-423-101-760,Springer
978-885-348-405-505,Springer
978-354-110-499-383,Springer
978-232-004-162-451,IEEE
978-230-554-048-207,Wiley
978-130-314-148-028,Wiley
978-360-052-014-379,Oxford University Press
978-066-345-403-455,Springer
978-140-353-361-853,Springer
978-178-741-236-402,Wiley
978-339-931-309-146,ACM
978-382-372-514-657,Springer
978-216-654-422-106,Elsevier
978-094-493-335-313,Oxford University Press
978-175-655-102-903,IEEE
978-539-080-262-021,IEEE
978-003-699-310-125,Springer
978-128-141-303-360,Oxford University Press
978-750-139-432-521,Oxford University Press
978-320-473-828-320,Springer
978-813-673-547-421,IEEE
978-396-221-848-939,Oxford University Press
978-053-363-109-211,IEEE
978-231-032-722-204,ACM
978-153-425-736-136,Elsevier
978-754-583-597-010,Wiley
978-241-975-632-683,Elsevier
978-024-183-441-543,Elsevier
978-075-481-204-510,ACM
978-628-928-258-334,Springer
978-703-534-553-811,Oxford University Press
978-551-343-192-405,Wiley
978-475-724-082-478,Wiley
978-012-622-382-340,Elsevier
978-022-718-356-035,Oxford University Press
978-415-620-258-861,Wiley
978-321-343-806-041,Elsevier
978-871-217-300-262,Elsevier
978-220-067-242-869,IEEE
978-719-133-714-928,Elsevier
978-336-202-553-380,Oxford University Press
978-024-522-181-052,ACM
978-087-971-371-152,Elsevier
978-340-019-256-156,Elsevier
978-605-335-017-023,IEEE
978-354-223-222-137,Oxford University Press
978-002-768-213-000,Springer
978-539-526-301-545,Oxford University Press
978-551-463-481-540,Springer
978-232-048-201-744,ACM
978-440-353-355-087,Oxford University Press
978-233-450-374-655,ACM
978-441-432-911-099,IEEE
978-202-563-006-911,Springer
978-101-243-840-040,ACM
978-124-520-592-423,IEEE
978-747-466-523-713,Springer
978-265-568-080-129,Springer
978-541-292-016-331,Springer
978-053-842-955-250,Oxford University Press
978-842-677-255-194,Elsevier
978-211-581-738-327,ACM
978-696-305-012-172,IEEE
978-030-518-945-645,ACM
978-434-274-362-233,Oxford University Press
978-559-540-540-449,IEEE
978-545-753-053-172,IEEE
978-401-581-085-303,Springer
978-354-513-056-058,ACM
978-331-513-294-000,Wiley
978-790-516-368-648,Springer
978-149-932-756-743,Wiley
978-138-024-762-723,Elsevier
978-715-740-604-341,Oxford University Press
978-541-353-375-613,Oxford University Press
978-534-036-088-074,ACM
978-234-708-181-055,Oxford University Press
978-603-546-723-461,Oxford University Press
978-001-853-544-548,IEEE
978-518-323-287-505,IEEE
978-499-683-342-729,Wiley
978-520-835-795-346,Oxford University Press
978-242-378-220-545,IEEE
978-540-556-134-762,Wiley
978-491-417-543-928,Springer
978-708-189-280-011,Elsevier
978-454-153-235-042,Springer
978-576-151-651-253,Wiley
978-708-023-356-222,Elsevier
978-595-210-404-975,Wiley
978-918-419-107-302,Wiley
978-821-492-913-894,Springer
978-347-552-373-318,Springer
978-502-593-903-956,IEEE
978-822-595-149-311,Wiley
978-740-005-433-445,Springer
978-323-515-806-958,Elsevier
978-369-144-235-339,Springer
978-205-133-713-424,ACM
978-988-720-742-715,Oxford University Press
978-935-472-610-173,IEEE
978-357-808-050-373,Elsevier
978-540-361-629-096,ACM
978-258-805-671-436,Springer
978-563-114-845-135,Elsevier
978-052-055-700-211,Oxford University Press
978-211-832-234-511,Elsevier
978-023-564-305-320,Wiley
978-411-325-456-513,Oxford University Press
