from,to
0000383df2587759015a21b7e2fee7f1457e6405,volume::basic and clinical andrology::2021::9
00006187176b1520d7faa97689a7dfb54c3f16af,volume::journal of nursing management::2009::17
000099a8f4c7604b553963915427b46ad4b6e491,volume::international research journal on advanced science hub::2025::9
0000a3ee8887f4d43ef90964f232ca6d25798257,volume::scientific journal of reflection::2025::12
0000b05e8b5f1d619725d291ee71728bf0197dca,volume::journal of environmental management::2014::3
0000b9b34a4fce9198e6dcd8aae8bf4e3c8d7a91,"volume::mars : jurnal teknik mesin, industri, elektro dan ilmu komputer::2025::16"
0000dded179cda3c259a9465fb47eb88583bb06e,volume::patient education and counseling::2020::2
000110d34a7ec8774acd757217a6bd8dd68801e4,volume::egems::2017::15
0001147c55f3dc487d3a561bff8f0bbcb84f6468,volume::bmc emergency medicine::2022::19
0001177a9c949a291fa587a5f642779cdfcb8751,volume::journal of korean medical science::2004::19
00011b6a4ce0a7de7e4cf5b18b1b131ef4a4c103,volume::journal of information systems engineering & management::2026::10
000129438252392dacee1de2938ff38e4691d4a6,volume::contemporary clinical trials::2021::20
00015b42bcd8b3a0efde56052de13763e005a0bc,volume::indus journal of social sciences::2024::12
0001a1e268f6a1b33e2aeff85d3ad0a003048e18,volume::surgical endoscopy::2023::2
0001d8de7be1d0f2c93f0c8e10a27d88cc7c7667,volume::bmc palliative care::2024::16
0001de794d1daa106063b4e7f07f2b2fbcddb839,volume::advances in sciences and arts::2025::2
0001ede022e266a4850e22521828ff2a24abba28,volume::neurosciences::2018::3
0001f3b4aa4e0f7e60a5a3a966261a6a7ba77bc3,volume::clinical ophthalmology::2021::2
000209cd97f65eb8cf1b2ac1d62df2d87c7ac9a2,volume::frontiers in medical technology::2020::1
00024596815ae67129f774bfb2b18bc86720b3df,volume::the journal of extra-corporeal technology::2015::7
00024a169d35a2179c279366f88ab0115b0477b2,volume::journal of neurosurgery::2011::15
00029d4dd36053ba7aff67379e75a70bbf8deef5,volume::journal of dermatology (print)::2006::10
00029ed1204ac87c278f940f8d881e02b34f5d15,volume::comput. stand. interfaces::2013::3
0002cbd4c4129b3f74cba985f1da99ca11d76cdc,volume::international journal of environmental research and public health::2024::16
0002d8c44c02c7da981f0dbf774bb58f4fdf4e9b,volume::texila international journal of public health::2024::11
0002dc92b3bc83bbb8411d430c79d26964bef923,volume::al-rabwah::2023::10
0002e7e9810b8e83a9d2943a3b2b510f828b4670,volume::recenti progressi in medicina::2017::3
0002ece71a87222d2336d461e1c08d7a83e80052,volume::quality in health care::1999::19
000308b04dd13ec738510f58aaa1418bc738bee6,volume::neotropical entomology::2016::9
000312ca10073b790e9e681750fcba091ea94947,volume::journal of clinical medicine::2024::6
0003219044b222ea0f8e2db4d5a2c105decaf9ef,volume::ieee international conference on industrial engineering and engineering management::2023::18
00032715f8b87c796acb0c9d4b2269bac0ef4dff,volume::journal of ethnopharmacology::2019::5
00032e9c30a0ec16ac8fea7a728a8079f699fe0b,volume::medrxiv::2023::19
00036822fe5ecd1ccf738cc7405e0f5bfa8ad642,volume::asme journal of heat and mass transfer::2023::8
000369242bdd9e0402a19e1acc0dfb27240a0cca,volume::cochrane database of systematic reviews::2023::11
000370e490f7eee1a431353a87131eb7103477ff,volume::neya global journal of non-profit studies::2025::1
00037b90ff1c991b5aa5915a98fc7144cc8638fb,volume::journal of behavior therapy and experimental psychiatry::1984::13
0003a83114bd235008f8d559cf37ae408c8cf8d5,volume::international journal of disaster resilience in the built environment::2023::16
0003b1146649fd8822274f8e9eb9b09be6b9b76a,volume::journal of humanities and social sciences studies::2026::1
0003b49f9f3650d05eebffc2b2e6ce59e2127dc1,volume::journal of combinatorial mathematics and combinatorial computing::2025::8
0003bc2a7c75d2080979e6cb7125ca113479388c,volume::psychology and education: a multidisciplinary journal::2025::14
0003e4de477d2cb52ce686814db7c55c5fbc8f79,volume::gema lingkungan kesehatan::2025::5
0003e9a47cf090ddf226f2fa1c907c41c7ac34bd,volume::environmental science and pollution research international::2024::11
0003ee1b69d0395e6f7383c859977a8e27f17c0a,volume::biosfer: jurnal tadris biologi::2022::2
0003f3c7e6e7cf75ea1ef8de9833fe48fdd2b8c1,volume::journal of islamic economics::2024::11
00040024b832d3ec84687643651bb2f377e9fe26,volume::journal of public health in africa::2025::7
00040bdd447f041a50ae95fd51926cf435ef1eba,volume::italian national conference on sensors::2021::13
0004188d1c35bfa2a53d35613b466ad6cca680e4,volume::tropical animal health and production::2025::19
0004412f72d81841f23bb7625aa9b9b52a651a17,volume::ieee international geoscience and remote sensing symposium::2019::20
00044a527a0642b08f385cda845331f0fc8cbbfd,volume::italian national conference on sensors::2023::20
00045560c272c4fb951dfe531038b345fd99297e,volume::accounting::2025::8
00045ba0e1b525dd1cf52ca6c63a0df121dcc52a,volume::journal of computational methods in sciences and engineering::2025::12
0004768f9f99814889d02c01b0344ddd0b236931,volume::transplantation direct::2024::15
000490bb6064ced118c47de914a9efb364a90a29,volume::italian national conference on sensors::2025::20
0004a42a844b7f4d36c96f7d386d27923b522d82,volume::holistik jurnal kesehatan::2025::1
0004c0ee9cf7528f8d630ea3902f499a0c7acf62,volume::pain research and management::2024::16
0004d0d666a6633b58dd956dbdc2fe6081f68b5e,volume::seminars in oncology nursing::2018::8
0004d56897ecd2cad15a6e6f5ee656639b786bd7,volume::acm/ieee international conference on model driven engineering languages and systems::2022::13
0004e7a0874fe1e1e20d291a4a113587803534f4,volume::international journal of health care quality assurance::2014::11
00050be28d1feceb8b4801c6d7424b2ae7702bfb,volume::fisheries research::2015::19
00051828f819d753c6862795b5477de7aefe307b,volume::south eastern european journal of public health::2024::2
00053235bcecd323252b1ec757e95b27c1238ce9,volume::journal of business and econometrics studies::2025::12
00058ab3242fe7cd5a2f7d101a07cf325d58a9d0,volume::animals::2019::19
0005aa2487059fb80bf917e2cb91a523ba45e210,volume::be-hisz::2024::14
0005ae1ce48cf8818dc1116ea50662b094659a37,volume::aslib journal of information management::2023::9
0005b514112f349d1c7d29554c3f9a8433315edc,volume::international journal of health planning and management::2021::7
0005bdd13947f78a673515a9b5b77ce75f815ca8,volume::soviet economy::2025::14
0005daf2eeeab8db1be36abe11207ada21a1b806,volume::transactions on emerging telecommunications technologies::2023::6
00060572d39697839a5b719ffea96992dd6d403e,volume::journal of governance innovation::2024::13
00060e5fbd7257ae16cd4cdcb630eba69ea9b02e,volume::strategic journal of business &amp; change management::2019::15
00060f109d375b995fda6370a17481cdff4e4fdf,volume::human systems management::2025::20
0006121eb238b91f6bf7df98d3594d3057726be0,volume::journal of business & economics research::2024::4
0006463230b2f29a6c35795bb5654287529cdeab,volume::jurnal ilmiah pariwisata dan bisnis::2023::8
000658abc030696e4387099077b762529d91a83d,volume::bmc family practice::2011::20
00065df13ee0d4a2a54eb699b97042ace7edda9f,volume::journal of pain and symptom management::1994::16
