from,to
50463126,0000383df2587759015a21b7e2fee7f1457e6405
48262019,0000383df2587759015a21b7e2fee7f1457e6405
5957219,0000383df2587759015a21b7e2fee7f1457e6405
2373915689,0000383df2587759015a21b7e2fee7f1457e6405
2299932063,0000383df2587759015a21b7e2fee7f1457e6405
3291604,00004a906cd066059838ce2a39f41db637b188f9
1400232213,00004a906cd066059838ce2a39f41db637b188f9
2067823267,00004a906cd066059838ce2a39f41db637b188f9
2887924,00006187176b1520d7faa97689a7dfb54c3f16af
13624758,000099a8f4c7604b553963915427b46ad4b6e491
2289946839,000099a8f4c7604b553963915427b46ad4b6e491
1475711177,000099a8f4c7604b553963915427b46ad4b6e491
2342556929,000099a8f4c7604b553963915427b46ad4b6e491
1739500,0000a3ee8887f4d43ef90964f232ca6d25798257
143959539,0000a3ee8887f4d43ef90964f232ca6d25798257
2397148452,0000a3ee8887f4d43ef90964f232ca6d25798257
2195427055,0000b05e8b5f1d619725d291ee71728bf0197dca
2165935277,0000b9b34a4fce9198e6dcd8aae8bf4e3c8d7a91
3260205,0000b9b34a4fce9198e6dcd8aae8bf4e3c8d7a91
4355691,0000b9b34a4fce9198e6dcd8aae8bf4e3c8d7a91
46433932,0000b9b34a4fce9198e6dcd8aae8bf4e3c8d7a91
3893408,0000b9b34a4fce9198e6dcd8aae8bf4e3c8d7a91
2672595,0000dded179cda3c259a9465fb47eb88583bb06e
2237675978,0000dded179cda3c259a9465fb47eb88583bb06e
2154843803,0000dded179cda3c259a9465fb47eb88583bb06e
15195973,0000f016ff8372dc234d4d34b9f9896c273a6b19
31981497,0000f016ff8372dc234d4d34b9f9896c273a6b19
40656996,0000f18d11ffb78b2d813750f93ddcfaeb7d4463
2265087213,0000f18d11ffb78b2d813750f93ddcfaeb7d4463
2004481249,0000f18d11ffb78b2d813750f93ddcfaeb7d4463
48863615,0000f18d11ffb78b2d813750f93ddcfaeb7d4463
2118546878,0000f18d11ffb78b2d813750f93ddcfaeb7d4463
153167665,0000f222b7cf6a56d603608e97f3a34227a28171
2065632171,0000f222b7cf6a56d603608e97f3a34227a28171
2896475,000110d34a7ec8774acd757217a6bd8dd68801e4
50771823,000110d34a7ec8774acd757217a6bd8dd68801e4
117213939,000110d34a7ec8774acd757217a6bd8dd68801e4
67151379,000110d34a7ec8774acd757217a6bd8dd68801e4
2110220883,000110d34a7ec8774acd757217a6bd8dd68801e4
2347414187,0001147c55f3dc487d3a561bff8f0bbcb84f6468
2281375653,0001147c55f3dc487d3a561bff8f0bbcb84f6468
2243263040,0001147c55f3dc487d3a561bff8f0bbcb84f6468
46241283,0001147c55f3dc487d3a561bff8f0bbcb84f6468
1409498830,0001147c55f3dc487d3a561bff8f0bbcb84f6468
3500316,0001177a9c949a291fa587a5f642779cdfcb8751
1788749,0001177a9c949a291fa587a5f642779cdfcb8751
1689090,0001177a9c949a291fa587a5f642779cdfcb8751
2356245189,0001177a9c949a291fa587a5f642779cdfcb8751
145873565,0001177a9c949a291fa587a5f642779cdfcb8751
