name,volumeId,volumeNumber,year
Basic and Clinical Andrology,volume::basic and clinical andrology::2021::9,9,2021
Journal of Nursing Management,volume::journal of nursing management::2009::17,17,2009
International Research Journal on Advanced Science Hub,volume::international research journal on advanced science hub::2025::9,9,2025
Scientific Journal of Reflection,volume::scientific journal of reflection::2025::12,12,2025
Journal of Environmental Management,volume::journal of environmental management::2014::3,3,2014
"Mars : Jurnal Teknik Mesin, Industri, Elektro Dan Ilmu Komputer","volume::mars : jurnal teknik mesin, industri, elektro dan ilmu komputer::2025::16",16,2025
Patient Education and Counseling,volume::patient education and counseling::2020::2,2,2020
eGEMs,volume::egems::2017::15,15,2017
BMC Emergency Medicine,volume::bmc emergency medicine::2022::19,19,2022
Journal of Korean medical science,volume::journal of korean medical science::2004::19,19,2004
Journal of Information Systems Engineering & Management,volume::journal of information systems engineering & management::2026::10,10,2026
Contemporary Clinical Trials,volume::contemporary clinical trials::2021::20,20,2021
Indus Journal of Social Sciences,volume::indus journal of social sciences::2024::12,12,2024
Surgical Endoscopy,volume::surgical endoscopy::2023::2,2,2023
BMC Palliative Care,volume::bmc palliative care::2024::16,16,2024
Advances in Sciences and Arts,volume::advances in sciences and arts::2025::2,2,2025
Neurosciences,volume::neurosciences::2018::3,3,2018
Clinical Ophthalmology,volume::clinical ophthalmology::2021::2,2,2021
Frontiers in Medical Technology,volume::frontiers in medical technology::2020::1,1,2020
The journal of extra-corporeal technology,volume::the journal of extra-corporeal technology::2015::7,7,2015
Journal of Neurosurgery,volume::journal of neurosurgery::2011::15,15,2011
Journal of dermatology (Print),volume::journal of dermatology (print)::2006::10,10,2006
Comput. Stand. Interfaces,volume::comput. stand. interfaces::2013::3,3,2013
International Journal of Environmental Research and Public Health,volume::international journal of environmental research and public health::2024::16,16,2024
TEXILA INTERNATIONAL JOURNAL OF PUBLIC HEALTH,volume::texila international journal of public health::2024::11,11,2024
Al-Rabwah,volume::al-rabwah::2023::10,10,2023
Recenti progressi in medicina,volume::recenti progressi in medicina::2017::3,3,2017
Quality in Health Care,volume::quality in health care::1999::19,19,1999
Neotropical Entomology,volume::neotropical entomology::2016::9,9,2016
Journal of Clinical Medicine,volume::journal of clinical medicine::2024::6,6,2024
IEEE International Conference on Industrial Engineering and Engineering Management,volume::ieee international conference on industrial engineering and engineering management::2023::18,18,2023
Journal of Ethnopharmacology,volume::journal of ethnopharmacology::2019::5,5,2019
medRxiv,volume::medrxiv::2023::19,19,2023
ASME Journal of Heat and Mass Transfer,volume::asme journal of heat and mass transfer::2023::8,8,2023
Cochrane Database of Systematic Reviews,volume::cochrane database of systematic reviews::2023::11,11,2023
NEYA Global Journal of Non-Profit Studies,volume::neya global journal of non-profit studies::2025::1,1,2025
Journal of Behavior Therapy and Experimental Psychiatry,volume::journal of behavior therapy and experimental psychiatry::1984::13,13,1984
International Journal of Disaster Resilience in the Built Environment,volume::international journal of disaster resilience in the built environment::2023::16,16,2023
Journal of humanities and social sciences studies,volume::journal of humanities and social sciences studies::2026::1,1,2026
Journal of Combinatorial Mathematics and Combinatorial Computing,volume::journal of combinatorial mathematics and combinatorial computing::2025::8,8,2025
Psychology and Education: A Multidisciplinary Journal,volume::psychology and education: a multidisciplinary journal::2025::14,14,2025
Gema Lingkungan Kesehatan,volume::gema lingkungan kesehatan::2025::5,5,2025
Environmental science and pollution research international,volume::environmental science and pollution research international::2024::11,11,2024
Biosfer: Jurnal Tadris Biologi,volume::biosfer: jurnal tadris biologi::2022::2,2,2022
Journal of Islamic Economics,volume::journal of islamic economics::2024::11,11,2024
Journal of Public Health in Africa,volume::journal of public health in africa::2025::7,7,2025
Italian National Conference on Sensors,volume::italian national conference on sensors::2021::13,13,2021
Tropical Animal Health and Production,volume::tropical animal health and production::2025::19,19,2025
IEEE International Geoscience and Remote Sensing Symposium,volume::ieee international geoscience and remote sensing symposium::2019::20,20,2019
Italian National Conference on Sensors,volume::italian national conference on sensors::2023::20,20,2023
Accounting,volume::accounting::2025::8,8,2025
Journal of Computational Methods in Sciences and Engineering,volume::journal of computational methods in sciences and engineering::2025::12,12,2025
Transplantation Direct,volume::transplantation direct::2024::15,15,2024
Italian National Conference on Sensors,volume::italian national conference on sensors::2025::20,20,2025
HOLISTIK JURNAL KESEHATAN,volume::holistik jurnal kesehatan::2025::1,1,2025
Pain Research and Management,volume::pain research and management::2024::16,16,2024
Seminars in Oncology Nursing,volume::seminars in oncology nursing::2018::8,8,2018
ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,volume::acm/ieee international conference on model driven engineering languages and systems::2022::13,13,2022
International Journal of Health Care Quality Assurance,volume::international journal of health care quality assurance::2014::11,11,2014
Fisheries Research,volume::fisheries research::2015::19,19,2015
South Eastern European Journal of Public Health,volume::south eastern european journal of public health::2024::2,2,2024
Journal of Business and Econometrics Studies,volume::journal of business and econometrics studies::2025::12,12,2025
Animals,volume::animals::2019::19,19,2019
BE-HISZ,volume::be-hisz::2024::14,14,2024
Aslib Journal of Information Management,volume::aslib journal of information management::2023::9,9,2023
International Journal of Health Planning and Management,volume::international journal of health planning and management::2021::7,7,2021
Soviet Economy,volume::soviet economy::2025::14,14,2025
Transactions on Emerging Telecommunications Technologies,volume::transactions on emerging telecommunications technologies::2023::6,6,2023
Journal of Governance Innovation,volume::journal of governance innovation::2024::13,13,2024
Strategic Journal of Business &amp; Change Management,volume::strategic journal of business &amp; change management::2019::15,15,2019
Human Systems Management,volume::human systems management::2025::20,20,2025
Journal of Business & Economics Research,volume::journal of business & economics research::2024::4,4,2024
Jurnal Ilmiah Pariwisata dan Bisnis,volume::jurnal ilmiah pariwisata dan bisnis::2023::8,8,2023
BMC Family Practice,volume::bmc family practice::2011::20,20,2011
Journal of Pain and Symptom Management,volume::journal of pain and symptom management::1994::16,16,1994
Jurnal Pengabdian Masyarakat dan Inovasi Teknologi Tepat Guna,volume::jurnal pengabdian masyarakat dan inovasi teknologi tepat guna::2025::2,2,2025
BMC Public Health,volume::bmc public health::2025::12,12,2025
Canadian journal of psychiatry. Revue canadienne de psychiatrie,volume::canadian journal of psychiatry. revue canadienne de psychiatrie::1986::2,2,1986
AJR. American journal of roentgenology,volume::ajr. american journal of roentgenology::2024::14,14,2024
The Veterinary Journal,volume::the veterinary journal::2013::13,13,2013
IEEE Transactions on Control Systems Technology,volume::ieee transactions on control systems technology::2026::4,4,2026
Brain Pathology,volume::brain pathology::2023::17,17,2023
Biosciences Biotechnology Research Asia,volume::biosciences biotechnology research asia::2025::14,14,2025
Agricultural Science Digest - A Research Journal,volume::agricultural science digest - a research journal::2025::6,6,2025
IEEE Transactions on Automation Science and Engineering,volume::ieee transactions on automation science and engineering::2013::14,14,2013
Clincal and Experimental Dermatology,volume::clincal and experimental dermatology::2024::16,16,2024
GSC Advanced Research and Reviews,volume::gsc advanced research and reviews::2025::19,19,2025
"The Journal of Nutrition, Health & Aging","volume::the journal of nutrition, health & aging::2008::16",16,2008
