authorId,name,firstName,lastName
2051880869,V. Frydman,V.,Frydman
12794436,U. Pinar,U.,Pinar
1630854542,M. Abdessater,M.,Abdessater
48696712,W. Akakpo,W.,Akakpo
50102448,P. Grande,P.,Grande
11816290,M. Audouin,M.,Audouin
3046790,P. Mozer,P.,Mozer
1398196754,E. Chartier-Kastler,E.,Chartier-Kastler
7566104,T. Seisen,T.,Seisen
31607595,M. Rouprêt,M.,Rouprêt
2964350,T. Cherrett,T.,Cherrett
9140912,R. Balan,R.,Balan
2065465774,Eddie Wilson,Eddie,Wilson
3239088,L. Fagerström,L.,Fagerström
2401563769,Dr. G. Gayatri Tanuja,Dr.,G. Gayatri Tanuja
2401563757,Chethana T. V,Chethana,T. V
118498472,Hadyati Harras,Hadyati,Harras
9683371,C. Petus,C.,Petus
13866178,E. D. da Silva,E.,D. da Silva
40193126,M. Devlin,M.,Devlin
40324729,A. Wenger,A.,Wenger
1398493888,J. Álvarez-Romero,J.,Álvarez-Romero
2385724715,Yoga Wahyu Pratama,Yoga,Wahyu Pratama
2385724721,Fransiska Prihatini,Fransiska,Prihatini
2385722117,Orissa Octaria,Orissa,Octaria
2284696266,Ahmad Farisi,Ahmad,Farisi
2385724745,Mardiani Mardiani,Mardiani,Mardiani
1402327802,G. Campbell‐Salome,G.,Campbell‐Salome
40162696,A. Buchanan,A.,Buchanan
48839538,M. Hallquist,M.,Hallquist
3201582,A. Rahm,A.,Rahm
39678394,H. Rocha,H.,Rocha
31246491,A. Sturm,A.,Sturm
101533533,Y. Sundari,Y.,Sundari
116676713,Y. Setiadi,Y.,Setiadi
120096483,Mohamad‐Amin Nasr,Mohamad‐Amin,Nasr
98649414,Ehsan Nasr-Azadani,Ehsan,Nasr-Azadani
2623015,A. Rabiee,A.,Rabiee
12083512,S. Hosseinian,S.,Hosseinian
2306078536,S. Budiman,S.,Budiman
69846602,S. Suprayogi,S.,Suprayogi
2217751,Sarah Knerr,Sarah,Knerr
31652966,E. Hu,E.,Hu
2916713,S. Zeliadt,S.,Zeliadt
40898151,E. Umana,E.,Umana
118082494,J. Foley,J.,Foley
2392348684,I. Grossi,I.,Grossi
3944709,C. Deasy,C.,Deasy
2341562439,Francis O’Keeffe,Francis,O’Keeffe
48433374,Andrew Patton,Andrew,Patton
1734923986,M. Jee,M.,Jee
2166954430,J. Mulcaire,J.,Mulcaire
2241649106,Ahmed Ahmed,Ahmed,Ahmed
34792345,C. D. Vecchia,C.,D. Vecchia
16288202,N. Vainberg,N.,Vainberg
2166954283,Hugh O’ Reilly,Hugh,O’ Reilly
2055501601,J. Daly,J.,Daly
2166954548,Cathal de Buitléir,Cathal,de Buitléir
2358607529,Conor Prendergast,Conor,Prendergast
47402167,Randa M. Ibrahim,Randa,M. Ibrahim
1675339052,S. Kukaswadia,S.,Kukaswadia
144175302,Kyungwon Lee,Kyungwon,Lee
4392072,S. Jang,S.,Jang
66406587,Hee-Joo Lee,Hee-Joo,Lee
8083387,N. Ryoo,N.,Ryoo
3768036,Myungshin Kim,Myungshin,Kim
3702858,S. Hong,S.,Hong
48497368,Y. Chong,Y.,Chong
2410648945,Swati Kumari,Swati,Kumari
4702521,A. Bharucha,A.,Bharucha
5933824,M. Gantz,M.,Gantz
145215130,S. Rao,S.,Rao
2438447,A. Lowry,A.,Lowry
7430577,H. Chua,H.,Chua
8343465,T. Karunaratne,T.,Karunaratne
144527774,Jennifer M Wu,Jennifer,M Wu
143763597,F. Hamilton,F.,Hamilton
4849559,W. Whitehead,W.,Whitehead
2114626255,R. Gozzer-Wuest,R.,Gozzer-Wuest
1423414171,Enrique Alonso-Población,Enrique,Alonso-Población
2050407004,Stefany Rojas-Perea,Stefany,Rojas-Perea
1403026603,R. Roa-Ureta,R.,Roa-Ureta
2334795089,Mushtaq Ahmad Jan,Mushtaq,Ahmad Jan
2334795778,Muhammad Kaleem,Muhammad,Kaleem
2334795713,Safi Ullah,Safi,Ullah
2334793422,Noor Ul Huda,Noor,Ul Huda
2334794261,Dr Dilkash Sapna,Dr,Dilkash Sapna
2238413437,Laura S. Wood,Laura,S. Wood
40443960,Michael P. Meara,Michael,P. Meara
1871186741,Heidi Pieper,Heidi,Pieper
2211162071,Mallory C. Shields,Mallory,C. Shields
15198555,Ingrid A. Woelfel,Ingrid,A. Woelfel
2188127737,Theresa N. Wang,Theresa,N. Wang
145011767,David Renton,David,Renton
2116118441,X. Chen,X.,Chen
2363614923,Lahoucine Oumiguil,Lahoucine,Oumiguil
2363619091,Ali Nejmi,Ali,Nejmi
2281803289,Yu Ke,Yu,Ke
2265481189,Yin Bun Cheung,Yin,Bun Cheung
2250308570,Marie A. Bakitas,Marie,A. Bakitas
2265480922,J. N. Odom,J.,N. Odom
2281810175,Elaine Lum,Elaine,Lum
2291153346,Daniel Shao,Daniel,Shao
2304619285,W. Tan,W.,Tan
2249167529,T. Tan,T.,Tan
2267716139,E. Finkelstein,E.,Finkelstein
2280400162,Hong Choon Oh,Hong,Choon Oh
2108884979,Siqin Zhou,Siqin,Zhou
3707114,G. Yang,G.,Yang
2370398644,Takondwa Msapato,Takondwa,Msapato
2370338997,Alfred Maluwa,Alfred,Maluwa
2338474766,Shatha Alharbi,Shatha,Alharbi
145488737,G. Harsh,G.,Harsh
12399019,Abdulrazag M. Ajlan,Abdulrazag,M. Ajlan
143655747,P. Baptista,P.,Baptista
48078608,R. Ambrósio,R.,Ambrósio
145633241,Luís Oliveira,Luís,Oliveira
6735462,P. Menéres,P.,Menéres
3714485,J. Beirão,J.,Beirão
2035066888,Anna-Elisa Hein,Anna-Elisa,Hein
6725728,B. Vrijens,B.,Vrijens
3507328,M. Hiligsmann,M.,Hiligsmann
2002913,Arijit Ukil,Arijit,Ukil
2371958,S. Bandyopadhyay,S.,Bandyopadhyay
35702066,Abhijan Bhattacharyya,Abhijan,Bhattacharyya
143725290,A. Pal,A.,Pal
1956965,Tulika Bose,Tulika,Bose
47855970,D. Scott,D.,Scott
15424315,Hon-Ming Andrew Tung,Hon-Ming,Andrew Tung
32781064,R. Slater,R.,Slater
6135110,R. Spetzler,R.,Spetzler
46551456,F. Ponce,F.,Ponce
1767296,Pierre Bourreau,Pierre,Bourreau
1693416,R. Chbeir,R.,Chbeir
2357985,Yudith Cardinale,Yudith,Cardinale
2014051,Aitor Corchero,Aitor,Corchero
1380802221,Jérôme Lafréchoux,Jérôme,Lafréchoux
152418038,David Frédérique,David,Frédérique
3054548,Khouloud Salameh,Khouloud,Salameh
31597619,G. Calis,G.,Calis
1380802259,Rafael Constantinou,Rafael,Constantinou
27065979,Lara Kallab,Lara,Kallab
7271286,G. Pasaoglu,G.,Pasaoglu
4526756,S. Bavbek,S.,Bavbek
4115144,H. Tuğcu,H.,Tuğcu
9792425,O. Abadoglu,O.,Abadoglu
4662211,Z. Mısırlıgil,Z.,Mısırlıgil
2108847,Abhijit Suprem,Abhijit,Suprem
1934939,N. Mahalik,N.,Mahalik
69848821,Kiseon Kim,Kiseon,Kim
2095302931,Svitlana Chukanova,Svitlana,Chukanova
2298076784,M. Shukla,M.,Shukla
1904651437,Taryn Amberson,Taryn,Amberson
14261718,Tara N Heagele,Tara,N Heagele
2284586591,C. McNeill,C.,McNeill
2298188269,Lavonne M. Adams,Lavonne,M. Adams
2298187711,K. Ndayishimiye,K.,Ndayishimiye
2276418397,J. Castner,J.,Castner
2321000477,Hanesh F. Chi,Hanesh,F. Chi
2321001299,Christophe B. Kengne,Christophe,B. Kengne
147621625,M. Ulfa,M.,Ulfa
100822066,Shalahuddin Shalahuddin,Shalahuddin,Shalahuddin
5573975,M. Muscatello,M.,Muscatello
47997715,G. M. Troili,G.,M. Troili
48060902,G. Pandolfo,G.,Pandolfo
4075587,C. Mento,C.,Mento
47049943,Giuseppa Gallo,Giuseppa,Gallo
40060807,Giulia Lanza,Giulia,Lanza
6160254,B. Pintaudi,B.,Pintaudi
8021089,G. Di Vieste,G.,Di Vieste
47462246,A. Di Benedetto,A.,Di Benedetto
8353337,R. Zoccali,R.,Zoccali
143919377,A. Bruno,A.,Bruno
52068742,P. V. D. Hombergh,P.,V. D. Hombergh
122612853,R. Grol,R.,Grol
66104859,H. Hoogen,H.,Hoogen
145531975,W. V. D. Bosch,W.,V. D. Bosch
2054665745,Xiao Xin,Xiao,Xin
7701926,R. Carnagarin,R.,Carnagarin
11925892,P. Mwipatayi,P.,Mwipatayi
5776460,M. Schlaich,M.,Schlaich
47806559,A. Garcia,A.,Garcia
2249990378,W. A. Godoy,W.,A. Godoy
7337341,J. Cardina,J.,Cardina
49271346,D. Sparrow,D.,Sparrow
145956749,E. Mccoy,E.,Mccoy
73225499,Caterina Galluccio,Caterina,Galluccio
3443620,M. Germanotta,M.,Germanotta
2307352951,Sergio Valeri,Sergio,Valeri
5619932,B. Brunetti,B.,Brunetti
2251271685,B. Vincenzi,B.,Vincenzi
4688934,S. Tenna,S.,Tenna
1435726754,Chiara Pagnoni,Chiara,Pagnoni
2255044120,R. Alloni,R.,Alloni
2303056669,M. Angelucci,M.,Angelucci
20753905,R. Salzillo,R.,Salzillo
134439147,M. Morelli Coppola,M.,Morelli Coppola
2332008086,Alice Valeri,Alice,Valeri
2328738028,R. Passa,R.,Passa
2166264841,F. Falchini,F.,Falchini
2212400288,A. Pavan,A.,Pavan
2191191911,L. Cortellini,L.,Cortellini
2253967000,S. Lattanzi,S.,Lattanzi
2267040987,I. Aprile,I.,Aprile
2283748665,Santanu Banerjee,Santanu,Banerjee
32764999,Soumen Atta,Soumen,Atta
2282292570,Goutam Sen,Goutam,Sen
119450000,Mingdi Li,Mingdi,Li
48092184,A. Hung,A.,Hung
8026834,A. Yang,A.,Yang
8781588,H. Hake,H.,Hake
