from,to,type
0000383df2587759015a21b7e2fee7f1457e6405,c17d1997fadbb31724c448facc7418ca65978884,CITES
0000383df2587759015a21b7e2fee7f1457e6405,013a4c7d878822371c2531f767830eb927124f6c,CITES
0000383df2587759015a21b7e2fee7f1457e6405,39b6ec312c64e8b20c76e9200795a8e170785c63,CITES
0000383df2587759015a21b7e2fee7f1457e6405,ad814c8918455148c43357ca7b762f8e7f110996,CITES
0000383df2587759015a21b7e2fee7f1457e6405,15a1cc00df29480d532e8a428e174331005eff70,CITES
0000383df2587759015a21b7e2fee7f1457e6405,ece2a4c27dc4a27bc517ee3bd396ff4e276a5ef2,CITES
0000383df2587759015a21b7e2fee7f1457e6405,33155b5bb88bf79a24a5a13256ad20b5b20362a7,CITES
0000383df2587759015a21b7e2fee7f1457e6405,956a4296b9d46132e5be59f54f9e31f430b66154,CITES
0000383df2587759015a21b7e2fee7f1457e6405,2bc18efd7d7ac38c8731f2a69be312327d4403d0,CITES
0000383df2587759015a21b7e2fee7f1457e6405,c6999aee70f52af34557dbd798085938721ca1e3,CITES
0000383df2587759015a21b7e2fee7f1457e6405,00dc907956779acfa8a353dc1cb667f308aeab77,CITES
0000383df2587759015a21b7e2fee7f1457e6405,a393dccea9a111e0c729abb62be22067418de7fa,CITES
0000383df2587759015a21b7e2fee7f1457e6405,70d60c4278b932b9878d9aaaab7a9dd913fa00cf,CITES
0000383df2587759015a21b7e2fee7f1457e6405,3c10d26f9b1a3ba08cd5df52f4a6ec96c07a0f1b,CITES
0000383df2587759015a21b7e2fee7f1457e6405,88e70fdab2ed77b5460a2aa5dc132c0b62690b99,CITES
0000383df2587759015a21b7e2fee7f1457e6405,7aa32f457af71db8734eb3a57af5e5deb9f414f2,CITES
0000383df2587759015a21b7e2fee7f1457e6405,499dc8d232148f4abd5e696a9b3d741f2245f945,CITES
0000383df2587759015a21b7e2fee7f1457e6405,46511c1aacec5ff5d45efa7c190bc3b0328ca100,CITES
0000383df2587759015a21b7e2fee7f1457e6405,af9f3cf228d0eefca726021af70b4496d69226cb,CITES
0000383df2587759015a21b7e2fee7f1457e6405,2592e16da03ef91843158115a7972f3ab8d68261,CITES
0000383df2587759015a21b7e2fee7f1457e6405,fc8de40e31ee1c1739ce5e904032540e05ddb885,CITES
0000383df2587759015a21b7e2fee7f1457e6405,c1a90a28af5158bdd4a483eb164a223e4ecde9dc,CITES
0000383df2587759015a21b7e2fee7f1457e6405,00830f5d8b96b1a0b1692deecd5cbd4a9c02bd9f,CITES
0000383df2587759015a21b7e2fee7f1457e6405,e7cd7431a894c7cabcfc38a9de8ed82499dbc89d,CITES
0000383df2587759015a21b7e2fee7f1457e6405,7b5b2450dd6c3053c98c93eba9ca5aa89044ee0f,CITES
0000383df2587759015a21b7e2fee7f1457e6405,26cef05eb61ecd8acfd00024c4c06c55105d6208,CITES
0000383df2587759015a21b7e2fee7f1457e6405,4224e99faee028c92feefa5eb362ae21dbd1b6c1,CITES
0000383df2587759015a21b7e2fee7f1457e6405,34b9635d7779e219e9d60e0d3d33919ca9bc123c,CITES
0000546f25f279d04c478b81c98816f8eead362b,f61a7279b60843037ded5c3a2d3c31a1ce676fba,CITES
0000546f25f279d04c478b81c98816f8eead362b,bd573ae9581b2d9ea8990489d9cba2a3ce1daccf,CITES
0000546f25f279d04c478b81c98816f8eead362b,933d6e910c4fc3a04c8582a18320641ec04f8616,CITES
0000546f25f279d04c478b81c98816f8eead362b,bac99ed385adf6acf1dd98133ec111934d117c4e,CITES
0000546f25f279d04c478b81c98816f8eead362b,70cb5c375d0aa3d242ef76738d50dd8507f2e416,CITES
0000546f25f279d04c478b81c98816f8eead362b,9d7fce1395405c8c1887f2b99a484b5c6dc8d467,CITES
0000546f25f279d04c478b81c98816f8eead362b,be57e9d9681564785bbbc3304899116797fc2956,CITES
0000546f25f279d04c478b81c98816f8eead362b,8d7628c62f62981d8c0d7b79576a370b8e270333,CITES
0000546f25f279d04c478b81c98816f8eead362b,b9848b51659027e5e18cec88c8e0d8c8e96874de,CITES
0000546f25f279d04c478b81c98816f8eead362b,a0b4b312aed16faf9e33098d93236a3b7b4c290f,CITES
0000546f25f279d04c478b81c98816f8eead362b,d3d5ac9432ab0446170de6780ed271ebc5678a8a,CITES
0000546f25f279d04c478b81c98816f8eead362b,f0da8d3fb2c2a6447e2290c5af188fd3b5409cb5,CITES
0000546f25f279d04c478b81c98816f8eead362b,50ecc3f9106538c573152dfd8075235248abaf95,CITES
0000546f25f279d04c478b81c98816f8eead362b,dee36a58a97580caadece0cc00c84f5ac94cae3f,CITES
0000546f25f279d04c478b81c98816f8eead362b,008a6e23bf157ab1f89f145e58c60a3b53b3eac2,CITES
0000546f25f279d04c478b81c98816f8eead362b,d27eb720e3d472d28e4be48b327cd8ef984ef23c,CITES
0000546f25f279d04c478b81c98816f8eead362b,a2adf556cfd98835da354eff6aefea49186dd0e7,CITES
0000546f25f279d04c478b81c98816f8eead362b,7bd2519aeadfad66b2cb3d876158726590ac8fc0,CITES
0000546f25f279d04c478b81c98816f8eead362b,a69b4e694a535989089f50c5173ffd834db2fb8e,CITES
0000546f25f279d04c478b81c98816f8eead362b,517b80c34f77ac7e71391498f322a55af7c8daec,CITES
0000546f25f279d04c478b81c98816f8eead362b,2baf5face3c076004f18ea23e03908ec0e107ba4,CITES
0000546f25f279d04c478b81c98816f8eead362b,6fd70db835be9c8cb83a0288889d5dcbeb47cd72,CITES
0000546f25f279d04c478b81c98816f8eead362b,231d51ea30991723b259e16bd7de3ce3201194d4,CITES
0000546f25f279d04c478b81c98816f8eead362b,6a277668a7d1c12f8f48961f9693df9739c4edae,CITES
0000546f25f279d04c478b81c98816f8eead362b,9a4ef8ea698fa981694c2cb8e37799b3549f2518,CITES
0000546f25f279d04c478b81c98816f8eead362b,0b1c18ea2e236372dff8c34ce20506643827d91c,CITES
0000546f25f279d04c478b81c98816f8eead362b,27b636238f6ccf442db04da6f04521b454dfd999,CITES
0000546f25f279d04c478b81c98816f8eead362b,a4be7d97cbd9dd460d1a8f94743e83f02efa90c5,CITES
0000546f25f279d04c478b81c98816f8eead362b,fe81859433b5a6765a4770ef1a8d3ff0a53aab08,CITES
0000546f25f279d04c478b81c98816f8eead362b,acff5b9b5d89aeef8cd6f49148d392d777453c67,CITES
0000546f25f279d04c478b81c98816f8eead362b,c0095cb94a1dc7b5af6f8c356f62d9da3666a64c,CITES
0000546f25f279d04c478b81c98816f8eead362b,6ba6d494745c731ffb85a3e4b2eb498b175ef6ed,CITES
0000546f25f279d04c478b81c98816f8eead362b,eabaa6504b3db95a762b89a99cadc6de1e301cb1,CITES
0000546f25f279d04c478b81c98816f8eead362b,6698fe8788b59376ec0a1e2e66defa9fdb49035e,CITES
0000546f25f279d04c478b81c98816f8eead362b,87f83fef54758705858d792d90fe645b98103c0e,CITES
0000546f25f279d04c478b81c98816f8eead362b,0ddc82cd66eb1bff7ce666d1c6e2fb6489acf823,CITES
0000546f25f279d04c478b81c98816f8eead362b,21a6ffd2b12391351b2fce7c7e3613482bba9c52,CITES
0000546f25f279d04c478b81c98816f8eead362b,669105f58ff0ecaf57d620cd375cea006b94c0d9,CITES
0000546f25f279d04c478b81c98816f8eead362b,811056171cd10e7f367e8801816855034e725cb0,CITES
