from,to,type
"conference::acm sigmobile international conference on mobile systems, applications, and services","proceeding::acm sigmobile international conference on mobile systems, applications, and services::2012",HAS_EDITION
conference::(jems) jurnal entrepreneur dan manajemen sains,proceeding::(jems) jurnal entrepreneur dan manajemen sains::2022,HAS_EDITION
conference::iet renewable power generation,proceeding::iet renewable power generation::2019,HAS_EDITION
conference::earth systems and environment,proceeding::earth systems and environment::2025,HAS_EDITION
conference::marine policy,proceeding::marine policy::2022,HAS_EDITION
conference::video journal of biomedicine,proceeding::video journal of biomedicine::2023,HAS_EDITION
"conference::2025 5th international conference on innovative research in applied science, engineering and technology (iraset)","proceeding::2025 5th international conference on innovative research in applied science, engineering and technology (iraset)::2025",HAS_EDITION
workshop::2014 ieee international conference on pervasive computing and communication workshops (percom workshops),proceeding::2014 ieee international conference on pervasive computing and communication workshops (percom workshops)::2014,HAS_EDITION
conference::proceedings of the 2019 european conference on computing in construction,proceeding::proceedings of the 2019 european conference on computing in construction::2019,HAS_EDITION
conference::ukrainian journal on library and information science,proceeding::ukrainian journal on library and information science::2018,HAS_EDITION
conference::2020 5th international conference on electromechanical control technology and transportation (icectt),proceeding::2020 5th international conference on electromechanical control technology and transportation (icectt)::2020,HAS_EDITION
conference::journal of hypertension,proceeding::journal of hypertension::2023,HAS_EDITION
conference::weed science,proceeding::weed science::1996,HAS_EDITION
conference::asian-australasian journal of food safety and security,proceeding::asian-australasian journal of food safety and security::2020,HAS_EDITION
conference::forests,proceeding::forests::2019,HAS_EDITION
conference::international journal of agriculture environment and bioresearch,proceeding::international journal of agriculture environment and bioresearch::2020,HAS_EDITION
conference::anesthesia and analgesia,proceeding::anesthesia and analgesia::2019,HAS_EDITION
conference::british journal of surgery,proceeding::british journal of surgery::2021,HAS_EDITION
conference::international conference on intelligent cloud computing,proceeding::international conference on intelligent cloud computing::2025,HAS_EDITION
conference::british journal of dermatology,proceeding::british journal of dermatology::2000,HAS_EDITION
conference::problems and perspectives in management,proceeding::problems and perspectives in management::2023,HAS_EDITION
conference::kanzo,proceeding::kanzo::2021,HAS_EDITION
conference::fisheries research,proceeding::fisheries research::2018,HAS_EDITION
conference::indian journal of neurotrauma,proceeding::indian journal of neurotrauma::2021,HAS_EDITION
conference::journal of the japanese association of rural medicine,proceeding::journal of the japanese association of rural medicine::2019,HAS_EDITION
conference::internal medicine journal (print),proceeding::internal medicine journal (print)::2015,HAS_EDITION
conference::jane - jurnal administrasi negara,proceeding::jane - jurnal administrasi negara::2022,HAS_EDITION
conference::frontiers in oncology,proceeding::frontiers in oncology::2021,HAS_EDITION
conference::international journal of productivity and performance management,proceeding::international journal of productivity and performance management::2022,HAS_EDITION
conference::bmc medical education,proceeding::bmc medical education::2020,HAS_EDITION
conference::lecture notes in computer science,proceeding::lecture notes in computer science::1996,HAS_EDITION
conference::lékař a technika,proceeding::lékař a technika::2020,HAS_EDITION
conference::transportation research part c: emerging technologies,proceeding::transportation research part c: emerging technologies::2019,HAS_EDITION
"conference::ieee uttar pradesh section international conference on electrical, computer and electronics engineering","proceeding::ieee uttar pradesh section international conference on electrical, computer and electronics engineering::2021",HAS_EDITION
conference::the international journal of science and society,proceeding::the international journal of science and society::2022,HAS_EDITION
conference::intelligent systems and networks,proceeding::intelligent systems and networks::2021,HAS_EDITION
conference::diversity,proceeding::diversity::2023,HAS_EDITION
"conference::nephrology, dialysis and transplantation","proceeding::nephrology, dialysis and transplantation::2020",HAS_EDITION
conference::american journal of industrial and business management,proceeding::american journal of industrial and business management::2022,HAS_EDITION
conference::journal of soil and water conservation,proceeding::journal of soil and water conservation::2011,HAS_EDITION
conference::jurnal manajemen agribisnis (journal of agribusiness management),proceeding::jurnal manajemen agribisnis (journal of agribusiness management)::2021,HAS_EDITION
conference::apcc/mdmc '04. the 2004 joint conference of the 10th asia-pacific conference on communications and the 5th international symposium on multi-dimensional mobile communications proceeding,proceeding::apcc/mdmc '04. the 2004 joint conference of the 10th asia-pacific conference on communications and the 5th international symposium on multi-dimensional mobile communications proceeding::2004,HAS_EDITION
conference::proceedings of the 8th international congress on environmental geotechnics volume 2,proceeding::proceedings of the 8th international congress on environmental geotechnics volume 2::2018,HAS_EDITION
conference::applied sciences,proceeding::applied sciences::2022,HAS_EDITION
conference::lecture notes in computer science,proceeding::lecture notes in computer science::2003,HAS_EDITION
"workshop::2009 ieee international symposium on a world of wireless, mobile and multimedia networks & workshops","proceeding::2009 ieee international symposium on a world of wireless, mobile and multimedia networks & workshops::2009",HAS_EDITION
conference::revista argentina de cardiología,proceeding::revista argentina de cardiología::2018,HAS_EDITION
conference::tree genetics & genomes,proceeding::tree genetics & genomes::2014,HAS_EDITION
conference::osteoporosis international,proceeding::osteoporosis international::2017,HAS_EDITION
conference::european journal of forest research,proceeding::european journal of forest research::2012,HAS_EDITION
conference::nature genetics,proceeding::nature genetics::1998,HAS_EDITION
conference::revista amazonía investiga,proceeding::revista amazonía investiga::2021,HAS_EDITION
conference::proceedings of the 6th international conference on management science and management innovation (msmi 2019),proceeding::proceedings of the 6th international conference on management science and management innovation (msmi 2019)::2019,HAS_EDITION
workshop::international workshop on quality of service,proceeding::international workshop on quality of service::2010,HAS_EDITION
conference::2025 7th international conference on electrical engineering and control technologies (ceect),proceeding::2025 7th international conference on electrical engineering and control technologies (ceect)::2025,HAS_EDITION
"conference::international conference on wireless communications, networking and mobile computing","proceeding::international conference on wireless communications, networking and mobile computing::2008",HAS_EDITION
conference::zbornik radova,proceeding::zbornik radova::2024,HAS_EDITION
conference::bmj global health,proceeding::bmj global health::2016,HAS_EDITION
conference::revista interamericana de bibliotecología,proceeding::revista interamericana de bibliotecología::2018,HAS_EDITION
conference::indian journal of gastroenterology,proceeding::indian journal of gastroenterology::2021,HAS_EDITION
conference::cases on digital strategies and management issues in modern organizations,proceeding::cases on digital strategies and management issues in modern organizations::2022,HAS_EDITION
conference::journal of pure and applied microbiology,proceeding::journal of pure and applied microbiology::2021,HAS_EDITION
conference::international journal of academic research in business and social sciences,proceeding::international journal of academic research in business and social sciences::2019,HAS_EDITION
conference::jurnal teknologi  dan sistem informasi bisnis,proceeding::jurnal teknologi  dan sistem informasi bisnis::2021,HAS_EDITION
conference::new directions in cultural policy research,proceeding::new directions in cultural policy research::2021,HAS_EDITION
conference::asia pacific journal of tourism research,proceeding::asia pacific journal of tourism research::2018,HAS_EDITION
"conference::international conference on intelligent transportation, big data and smart city","proceeding::international conference on intelligent transportation, big data and smart city::2020",HAS_EDITION
conference::international journal of ethics and systems,proceeding::international journal of ethics and systems::2021,HAS_EDITION
conference::gut,proceeding::gut::2012,HAS_EDITION
conference::hydrobiologia,proceeding::hydrobiologia::2005,HAS_EDITION
conference::pharmaceutical medicine,proceeding::pharmaceutical medicine::2020,HAS_EDITION
conference::ieee conference of russian young researchers in electrical and electronic engineering,proceeding::ieee conference of russian young researchers in electrical and electronic engineering::2019,HAS_EDITION
conference::international journal of advances in scientific research and engineering,proceeding::international journal of advances in scientific research and engineering::2019,HAS_EDITION
conference::african journal of range and forage science,proceeding::african journal of range and forage science::2020,HAS_EDITION
conference::hydrobiologia,proceeding::hydrobiologia::2002,HAS_EDITION
conference::simulations in medicine,proceeding::simulations in medicine::2020,HAS_EDITION
conference::le journal de la renaissance,proceeding::le journal de la renaissance::2018,HAS_EDITION
conference::aquatic sciences,proceeding::aquatic sciences::2015,HAS_EDITION
conference::anesthesia and analgesia,proceeding::anesthesia and analgesia::1999,HAS_EDITION
conference::journal of contingencies and crisis management,proceeding::journal of contingencies and crisis management::2020,HAS_EDITION
conference::highlights in science engineering and technology,proceeding::highlights in science engineering and technology::2022,HAS_EDITION
"conference::2012 international conference on smart grid technology, economics and policies (sg-tep)","proceeding::2012 international conference on smart grid technology, economics and policies (sg-tep)::2012",HAS_EDITION
conference::agricultural water management,proceeding::agricultural water management::2018,HAS_EDITION
conference::international journal artificial intelligent and informatics,proceeding::international journal artificial intelligent and informatics::2018,HAS_EDITION
conference::jurnal basicedu,proceeding::jurnal basicedu::2021,HAS_EDITION
conference::south florida journal of development,proceeding::south florida journal of development::2021,HAS_EDITION
conference::thermal science,proceeding::thermal science::2020,HAS_EDITION
conference::international journal of advanced research,proceeding::international journal of advanced research::2023,HAS_EDITION
conference::sustainability,proceeding::sustainability::2021,HAS_EDITION
conference::teaching english and language learning english journal (telle),proceeding::teaching english and language learning english journal (telle)::2021,HAS_EDITION
conference::bmj supportive & palliative care,proceeding::bmj supportive & palliative care::2014,HAS_EDITION
conference::journal of pharmaceutical research international,proceeding::journal of pharmaceutical research international::2021,HAS_EDITION
conference::journal of soil and water conservation,proceeding::journal of soil and water conservation::2019,HAS_EDITION
conference::pharmaceutical & diagnostic innovation,proceeding::pharmaceutical & diagnostic innovation::2012,HAS_EDITION
"conference::journal of the geographical institute jovan cvijic, sasa","proceeding::journal of the geographical institute jovan cvijic, sasa::2019",HAS_EDITION
conference::ssr institute of international journal of life sciences,proceeding::ssr institute of international journal of life sciences::2019,HAS_EDITION
conference::agricultural science,proceeding::agricultural science::2021,HAS_EDITION
conference::sustainability,proceeding::sustainability::2021,HAS_EDITION
conference::e3s web of conferences,proceeding::e3s web of conferences::2020,HAS_EDITION
