from,to,type
journal::basic and clinical andrology,volume::basic and clinical andrology::2021,HAS_VOLUME
journal::journal of nursing management,volume::journal of nursing management::2009,HAS_VOLUME
journal::international research journal on advanced science hub,volume::international research journal on advanced science hub::2025,HAS_VOLUME
journal::scientific journal of reflection,volume::scientific journal of reflection::2025,HAS_VOLUME
journal::journal of environmental management,volume::journal of environmental management::2014,HAS_VOLUME
"journal::mars : jurnal teknik mesin, industri, elektro dan ilmu komputer","volume::mars : jurnal teknik mesin, industri, elektro dan ilmu komputer::2025",HAS_VOLUME
journal::patient education and counseling,volume::patient education and counseling::2020,HAS_VOLUME
journal::egems,volume::egems::2017,HAS_VOLUME
journal::bmc emergency medicine,volume::bmc emergency medicine::2022,HAS_VOLUME
journal::journal of korean medical science,volume::journal of korean medical science::2004,HAS_VOLUME
journal::journal of information systems engineering & management,volume::journal of information systems engineering & management::2026,HAS_VOLUME
journal::contemporary clinical trials,volume::contemporary clinical trials::2021,HAS_VOLUME
journal::indus journal of social sciences,volume::indus journal of social sciences::2024,HAS_VOLUME
journal::surgical endoscopy,volume::surgical endoscopy::2023,HAS_VOLUME
journal::bmc palliative care,volume::bmc palliative care::2024,HAS_VOLUME
journal::advances in sciences and arts,volume::advances in sciences and arts::2025,HAS_VOLUME
journal::neurosciences,volume::neurosciences::2018,HAS_VOLUME
journal::clinical ophthalmology,volume::clinical ophthalmology::2021,HAS_VOLUME
journal::frontiers in medical technology,volume::frontiers in medical technology::2020,HAS_VOLUME
journal::the journal of extra-corporeal technology,volume::the journal of extra-corporeal technology::2015,HAS_VOLUME
journal::journal of neurosurgery,volume::journal of neurosurgery::2011,HAS_VOLUME
journal::journal of dermatology (print),volume::journal of dermatology (print)::2006,HAS_VOLUME
journal::comput. stand. interfaces,volume::comput. stand. interfaces::2013,HAS_VOLUME
journal::international journal of environmental research and public health,volume::international journal of environmental research and public health::2024,HAS_VOLUME
journal::texila international journal of public health,volume::texila international journal of public health::2024,HAS_VOLUME
journal::al-rabwah,volume::al-rabwah::2023,HAS_VOLUME
journal::recenti progressi in medicina,volume::recenti progressi in medicina::2017,HAS_VOLUME
journal::quality in health care,volume::quality in health care::1999,HAS_VOLUME
