journalId,name
journal::basic and clinical andrology,Basic and Clinical Andrology
journal::journal of nursing management,Journal of Nursing Management
journal::international research journal on advanced science hub,International Research Journal on Advanced Science Hub
journal::scientific journal of reflection,Scientific Journal of Reflection
journal::journal of environmental management,Journal of Environmental Management
"journal::mars : jurnal teknik mesin, industri, elektro dan ilmu komputer","Mars : Jurnal Teknik Mesin, Industri, Elektro Dan Ilmu Komputer"
journal::patient education and counseling,Patient Education and Counseling
journal::egems,eGEMs
journal::bmc emergency medicine,BMC Emergency Medicine
journal::journal of korean medical science,Journal of Korean medical science
journal::journal of information systems engineering & management,Journal of Information Systems Engineering & Management
journal::contemporary clinical trials,Contemporary Clinical Trials
journal::indus journal of social sciences,Indus Journal of Social Sciences
journal::surgical endoscopy,Surgical Endoscopy
journal::bmc palliative care,BMC Palliative Care
journal::advances in sciences and arts,Advances in Sciences and Arts
journal::neurosciences,Neurosciences
journal::clinical ophthalmology,Clinical Ophthalmology
journal::frontiers in medical technology,Frontiers in Medical Technology
journal::the journal of extra-corporeal technology,The journal of extra-corporeal technology
journal::journal of neurosurgery,Journal of Neurosurgery
journal::journal of dermatology (print),Journal of dermatology (Print)
journal::comput. stand. interfaces,Comput. Stand. Interfaces
journal::international journal of environmental research and public health,International Journal of Environmental Research and Public Health
journal::texila international journal of public health,TEXILA INTERNATIONAL JOURNAL OF PUBLIC HEALTH
journal::al-rabwah,Al-Rabwah
journal::recenti progressi in medicina,Recenti progressi in medicina
journal::quality in health care,Quality in Health Care
journal::neotropical entomology,Neotropical Entomology
journal::journal of clinical medicine,Journal of Clinical Medicine
journal::ieee international conference on industrial engineering and engineering management,IEEE International Conference on Industrial Engineering and Engineering Management
journal::journal of ethnopharmacology,Journal of Ethnopharmacology
journal::medrxiv,medRxiv
journal::asme journal of heat and mass transfer,ASME Journal of Heat and Mass Transfer
journal::cochrane database of systematic reviews,Cochrane Database of Systematic Reviews
journal::neya global journal of non-profit studies,NEYA Global Journal of Non-Profit Studies
journal::journal of behavior therapy and experimental psychiatry,Journal of Behavior Therapy and Experimental Psychiatry
journal::international journal of disaster resilience in the built environment,International Journal of Disaster Resilience in the Built Environment
journal::journal of humanities and social sciences studies,Journal of humanities and social sciences studies
journal::journal of combinatorial mathematics and combinatorial computing,Journal of Combinatorial Mathematics and Combinatorial Computing
journal::psychology and education: a multidisciplinary journal,Psychology and Education: A Multidisciplinary Journal
journal::gema lingkungan kesehatan,Gema Lingkungan Kesehatan
journal::environmental science and pollution research international,Environmental science and pollution research international
journal::biosfer: jurnal tadris biologi,Biosfer: Jurnal Tadris Biologi
journal::journal of islamic economics,Journal of Islamic Economics
journal::journal of public health in africa,Journal of Public Health in Africa
journal::italian national conference on sensors,Italian National Conference on Sensors
journal::tropical animal health and production,Tropical Animal Health and Production
journal::ieee international geoscience and remote sensing symposium,IEEE International Geoscience and Remote Sensing Symposium
journal::accounting,Accounting
journal::journal of computational methods in sciences and engineering,Journal of Computational Methods in Sciences and Engineering
journal::transplantation direct,Transplantation Direct
journal::holistik jurnal kesehatan,HOLISTIK JURNAL KESEHATAN
journal::pain research and management,Pain Research and Management
journal::seminars in oncology nursing,Seminars in Oncology Nursing
journal::acm/ieee international conference on model driven engineering languages and systems,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems
journal::international journal of health care quality assurance,International Journal of Health Care Quality Assurance
journal::fisheries research,Fisheries Research
journal::south eastern european journal of public health,South Eastern European Journal of Public Health
journal::journal of business and econometrics studies,Journal of Business and Econometrics Studies
journal::animals,Animals
journal::be-hisz,BE-HISZ
journal::aslib journal of information management,Aslib Journal of Information Management
journal::international journal of health planning and management,International Journal of Health Planning and Management
journal::soviet economy,Soviet Economy
journal::transactions on emerging telecommunications technologies,Transactions on Emerging Telecommunications Technologies
journal::journal of governance innovation,Journal of Governance Innovation
journal::strategic journal of business &amp; change management,Strategic Journal of Business &amp; Change Management
journal::human systems management,Human Systems Management
journal::journal of business & economics research,Journal of Business & Economics Research
journal::jurnal ilmiah pariwisata dan bisnis,Jurnal Ilmiah Pariwisata dan Bisnis
journal::bmc family practice,BMC Family Practice
journal::journal of pain and symptom management,Journal of Pain and Symptom Management
journal::jurnal pengabdian masyarakat dan inovasi teknologi tepat guna,Jurnal Pengabdian Masyarakat dan Inovasi Teknologi Tepat Guna
journal::bmc public health,BMC Public Health
journal::canadian journal of psychiatry. revue canadienne de psychiatrie,Canadian journal of psychiatry. Revue canadienne de psychiatrie
journal::ajr. american journal of roentgenology,AJR. American journal of roentgenology
journal::the veterinary journal,The Veterinary Journal
journal::ieee transactions on control systems technology,IEEE Transactions on Control Systems Technology
journal::brain pathology,Brain Pathology
journal::biosciences biotechnology research asia,Biosciences Biotechnology Research Asia
journal::agricultural science digest - a research journal,Agricultural Science Digest - A Research Journal
journal::ieee transactions on automation science and engineering,IEEE Transactions on Automation Science and Engineering
journal::clincal and experimental dermatology,Clincal and Experimental Dermatology
journal::gsc advanced research and reviews,GSC Advanced Research and Reviews
"journal::the journal of nutrition, health & aging","The Journal of Nutrition, Health & Aging"
journal::global journal of health science,Global Journal of Health Science
journal::world journal of vocational education and training,World Journal of Vocational Education and Training
journal::ijebd (international journal of entrepreneurship and business development),IJEBD (International Journal of Entrepreneurship and Business Development)
journal::journal of oral rehabilitation,Journal of Oral Rehabilitation
journal::multimedia tools and applications,Multimedia tools and applications
"journal::international journal of education, learning and development","International journal of education, learning and development"
journal::international journal of information systems in the service sector,International Journal of Information Systems in the Service Sector
journal::zhongguo yi xue ke xue yuan xue bao. acta academiae medicinae sinicae,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae
journal::arxiv.org,arXiv.org
journal::journal on spesial topics in mobile networks and applications,Journal on spesial topics in mobile networks and applications
"journal::international journal of applied research in management, economics and accounting","International Journal of applied Research in Management, Economics and Accounting"
journal::journal of humanitarian logistics and supply chain management,Journal of Humanitarian Logistics and Supply Chain Management
journal::international journal of environmental science,International Journal of Environmental Science
journal::management sciences,Management Sciences
journal::journal of clinical nursing,Journal of Clinical Nursing
journal::cureus,Cureus
journal::accounting horizons,Accounting Horizons
journal::plos one,PLoS ONE
journal::journal of social research,Journal of social research
journal::ieee international symposium on distributed simulation and real-time applications,IEEE International Symposium on Distributed Simulation and Real-Time Applications
journal::ingeniería y universidad,Ingeniería y Universidad
journal::manazhim,MANAZHIM
journal::indian journal of psychiatric nursing,Indian Journal of Psychiatric Nursing
journal::journal of travel medicine,Journal of Travel Medicine
journal::syst.,Syst.
journal::international journal of lean six sigma,International Journal of Lean Six Sigma
journal::aids (london),AIDS (London)
journal::the lancet regional health - europe,The Lancet Regional Health - Europe
"journal::jurnal ekonomi bisnis, manajemen dan akuntansi","Jurnal Ekonomi Bisnis, Manajemen dan Akuntansi"
journal::cancer causes and control,Cancer Causes and Control
journal::international conference on ultra modern telecommunications,International Conference on Ultra Modern Telecommunications
journal::remote sensing,Remote Sensing
journal::ieee access,IEEE Access
journal::e3s web of conferences,E3S Web of Conferences
journal::complex & intelligent systems,Complex & Intelligent Systems
journal::circulation,Circulation
journal::vietnam journal of education,Vietnam Journal of Education
journal::ieee transactions on nanobioscience,IEEE Transactions on Nanobioscience
journal::cardiovascular biomedicine journal,Cardiovascular Biomedicine Journal
journal::water resources management,Water resources management
journal::journal of neurological sciences,Journal of Neurological Sciences
journal::international brazilian journal of urology,International Brazilian Journal of Urology
journal::international journal of molecular sciences,International Journal of Molecular Sciences
journal::journal of rawalpindi medical college,Journal of Rawalpindi Medical College
journal::international journal of multidisciplinary and scientific emerging research,International journal of multidisciplinary and scientific emerging research
journal::clinical nutrition espen,Clinical Nutrition ESPEN
journal::journal of systems and information technology,Journal of Systems and Information Technology
journal::zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi
journal::ieee international conference on services computing,IEEE International Conference on Services Computing
journal::journal of extracellular biology,Journal of Extracellular Biology
journal::sustainability,Sustainability
journal::ieee international symposium on broadband multimedia systems and broadcasting,IEEE international Symposium on Broadband Multimedia Systems and Broadcasting
journal::annals of emergency medicine,Annals of Emergency Medicine
journal::international journal of research in business and social science,International Journal of Research In Business and Social Science
journal::international journal of computer science in sport,International Journal of Computer Science in Sport
journal::archivio italiano di urologia e andrologia,Archivio Italiano di Urologia e Andrologia
journal::american journal of obstetrics and gynecology,American Journal of Obstetrics and Gynecology
journal::pediatric surgery international (print),Pediatric surgery international (Print)
journal::bmc health services research,BMC Health Services Research
journal::american journal of audiology,American Journal of Audiology
journal::journal of vascular surgery,Journal of Vascular Surgery
journal::interspeech,Interspeech
journal::atmosphere,Atmosphere
journal::the american surgeon,The American surgeon
journal::rcmos - revista científica multidisciplinar o saber,RCMOS - Revista Científica Multidisciplinar O Saber
journal::current opinion in critical care,Current Opinion in Critical Care
"journal::nutrition (burbank, los angeles county, calif.)","Nutrition (Burbank, Los Angeles County, Calif.)"
journal::applied clinical informatics,Applied Clinical Informatics
journal::international journal of communication systems,International Journal of Communication Systems
journal::joinetech (international journal of economic and technological studies),JOINETECH (International Journal of Economic and Technological Studies)
journal::african journal of primary health care & family medicine,African Journal of Primary Health Care & Family Medicine
journal::nuansa,NUANSA
journal::the r journal,The R Journal
journal::romanian journal of morphology and embryology = revue roumaine de morphologie et embryologie,Romanian journal of morphology and embryology = Revue roumaine de morphologie et embryologie
journal::jmir mhealth and uhealth,JMIR mHealth and uHealth
"journal::2012 sc companion: high performance computing, networking storage and analysis","2012 SC Companion: High Performance Computing, Networking Storage and Analysis"
journal::respiratory medicine,Respiratory Medicine
journal::bandung conference series: business and management,Bandung Conference Series: Business and Management
journal::international conference on pattern recognition,International Conference on Pattern Recognition
journal::iet cyper-phys. syst.: theory & appl.,IET Cyper-Phys. Syst.: Theory & Appl.
journal::east african journal of business and economics,East African Journal of Business and Economics
journal::j-aksi : jurnal akuntansi dan sistem informasi,J-AKSI : JURNAL AKUNTANSI DAN SISTEM INFORMASI
journal::siberian law herald,Siberian Law Herald
journal::international journal of scientific research and innovative studies,International Journal of Scientific Research and Innovative Studies
journal::contemporary oncology,Contemporary oncology
journal::journal of clinical psychopharmacology,Journal of Clinical Psychopharmacology
"journal::zero: jurnal sains, matematika dan terapan","ZERO: Jurnal Sains, Matematika dan Terapan"
journal::zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases
journal::geo journal of tourism and geosites,Geo Journal of Tourism and Geosites
"journal::international journal of advanced research in science, communication and technology","International Journal of Advanced Research in Science, Communication and Technology"
"journal::volume 6 number 1, february 2023","Volume 6 Number 1, February 2023"
journal::global emergency and critical care,Global Emergency and Critical Care
journal::journal of social science,Journal of Social Science
journal::journal of the medical library association,Journal of the Medical Library Association
journal::frontiers in pharmacology,Frontiers in Pharmacology
journal::journal of the american college of surgeons,Journal of the American College of Surgeons
journal::international nursing review,International Nursing Review
journal::implementation science,Implementation Science
