proceedingId,editionNumber,year,city
"proceeding::acm sigmobile international conference on mobile systems, applications, and services::2012",2012,2012,
proceeding::(jems) jurnal entrepreneur dan manajemen sains::2022,2022,2022,
proceeding::iet renewable power generation::2019,2019,2019,
proceeding::earth systems and environment::2025,2025,2025,
proceeding::marine policy::2022,2022,2022,
proceeding::video journal of biomedicine::2023,2023,2023,
"proceeding::2025 5th international conference on innovative research in applied science, engineering and technology (iraset)::2025",2025,2025,
proceeding::2014 ieee international conference on pervasive computing and communication workshops (percom workshops)::2014,2014,2014,
proceeding::proceedings of the 2019 european conference on computing in construction::2019,2019,2019,
proceeding::ukrainian journal on library and information science::2018,2018,2018,
proceeding::2020 5th international conference on electromechanical control technology and transportation (icectt)::2020,2020,2020,
proceeding::journal of hypertension::2023,2023,2023,
proceeding::weed science::1996,1996,1996,
proceeding::asian-australasian journal of food safety and security::2020,2020,2020,
proceeding::forests::2019,2019,2019,
proceeding::international journal of agriculture environment and bioresearch::2020,2020,2020,
proceeding::anesthesia and analgesia::2019,2019,2019,
proceeding::british journal of surgery::2021,2021,2021,
proceeding::international conference on intelligent cloud computing::2025,2025,2025,
proceeding::british journal of dermatology::2000,2000,2000,
proceeding::problems and perspectives in management::2023,2023,2023,
proceeding::kanzo::2021,2021,2021,
proceeding::fisheries research::2018,2018,2018,
proceeding::indian journal of neurotrauma::2021,2021,2021,
proceeding::journal of the japanese association of rural medicine::2019,2019,2019,
proceeding::internal medicine journal (print)::2015,2015,2015,
proceeding::jane - jurnal administrasi negara::2022,2022,2022,
proceeding::frontiers in oncology::2021,2021,2021,
proceeding::international journal of productivity and performance management::2022,2022,2022,
proceeding::bmc medical education::2020,2020,2020,
proceeding::lecture notes in computer science::1996,1996,1996,
proceeding::lékař a technika::2020,2020,2020,
proceeding::transportation research part c: emerging technologies::2019,2019,2019,
"proceeding::ieee uttar pradesh section international conference on electrical, computer and electronics engineering::2021",2021,2021,
proceeding::the international journal of science and society::2022,2022,2022,
proceeding::intelligent systems and networks::2021,2021,2021,
proceeding::diversity::2023,2023,2023,
"proceeding::nephrology, dialysis and transplantation::2020",2020,2020,
proceeding::american journal of industrial and business management::2022,2022,2022,
proceeding::journal of soil and water conservation::2011,2011,2011,
proceeding::jurnal manajemen agribisnis (journal of agribusiness management)::2021,2021,2021,
proceeding::apcc/mdmc '04. the 2004 joint conference of the 10th asia-pacific conference on communications and the 5th international symposium on multi-dimensional mobile communications proceeding::2004,2004,2004,
proceeding::proceedings of the 8th international congress on environmental geotechnics volume 2::2018,2018,2018,
proceeding::applied sciences::2022,2022,2022,
proceeding::lecture notes in computer science::2003,2003,2003,
"proceeding::2009 ieee international symposium on a world of wireless, mobile and multimedia networks & workshops::2009",2009,2009,
proceeding::revista argentina de cardiología::2018,2018,2018,
proceeding::tree genetics & genomes::2014,2014,2014,
proceeding::osteoporosis international::2017,2017,2017,
proceeding::european journal of forest research::2012,2012,2012,
proceeding::nature genetics::1998,1998,1998,
proceeding::revista amazonía investiga::2021,2021,2021,
proceeding::proceedings of the 6th international conference on management science and management innovation (msmi 2019)::2019,2019,2019,
proceeding::international workshop on quality of service::2010,2010,2010,
proceeding::2025 7th international conference on electrical engineering and control technologies (ceect)::2025,2025,2025,
"proceeding::international conference on wireless communications, networking and mobile computing::2008",2008,2008,
proceeding::zbornik radova::2024,2024,2024,
proceeding::bmj global health::2016,2016,2016,
proceeding::revista interamericana de bibliotecología::2018,2018,2018,
proceeding::indian journal of gastroenterology::2021,2021,2021,
proceeding::cases on digital strategies and management issues in modern organizations::2022,2022,2022,
proceeding::journal of pure and applied microbiology::2021,2021,2021,
proceeding::international journal of academic research in business and social sciences::2019,2019,2019,
proceeding::jurnal teknologi  dan sistem informasi bisnis::2021,2021,2021,
proceeding::new directions in cultural policy research::2021,2021,2021,
proceeding::asia pacific journal of tourism research::2018,2018,2018,
"proceeding::international conference on intelligent transportation, big data and smart city::2020",2020,2020,
proceeding::international journal of ethics and systems::2021,2021,2021,
proceeding::gut::2012,2012,2012,
proceeding::hydrobiologia::2005,2005,2005,
proceeding::pharmaceutical medicine::2020,2020,2020,
proceeding::ieee conference of russian young researchers in electrical and electronic engineering::2019,2019,2019,
proceeding::international journal of advances in scientific research and engineering::2019,2019,2019,
proceeding::african journal of range and forage science::2020,2020,2020,
proceeding::hydrobiologia::2002,2002,2002,
proceeding::simulations in medicine::2020,2020,2020,
proceeding::le journal de la renaissance::2018,2018,2018,
proceeding::aquatic sciences::2015,2015,2015,
proceeding::anesthesia and analgesia::1999,1999,1999,
proceeding::journal of contingencies and crisis management::2020,2020,2020,
proceeding::highlights in science engineering and technology::2022,2022,2022,
"proceeding::2012 international conference on smart grid technology, economics and policies (sg-tep)::2012",2012,2012,
proceeding::agricultural water management::2018,2018,2018,
proceeding::international journal artificial intelligent and informatics::2018,2018,2018,
proceeding::jurnal basicedu::2021,2021,2021,
proceeding::south florida journal of development::2021,2021,2021,
proceeding::thermal science::2020,2020,2020,
proceeding::international journal of advanced research::2023,2023,2023,
proceeding::sustainability::2021,2021,2021,
proceeding::teaching english and language learning english journal (telle)::2021,2021,2021,
proceeding::bmj supportive & palliative care::2014,2014,2014,
proceeding::journal of pharmaceutical research international::2021,2021,2021,
proceeding::journal of soil and water conservation::2019,2019,2019,
proceeding::pharmaceutical & diagnostic innovation::2012,2012,2012,
"proceeding::journal of the geographical institute jovan cvijic, sasa::2019",2019,2019,
proceeding::ssr institute of international journal of life sciences::2019,2019,2019,
proceeding::agricultural science::2021,2021,2021,
proceeding::e3s web of conferences::2020,2020,2020,
proceeding::american journal of perinatology reports::2019,2019,2019,
proceeding::british medical journal::2003,2003,2003,
proceeding::2025 ieee 5th international conference on sustainable energy and future electric transportation (sefet)::2025,2025,2025,
proceeding::cdmw '12::2012,2012,2012,
"proceeding::synergizing management, technology and innovation in generating sustainable and competitive business growth::2021",2021,2021,
"proceeding::the journal of nutrition, health & aging::2020",2020,2020,
proceeding::proceedings of the 2024 6th blockchain and internet of things conference::2024,2024,2024,
proceeding::biodiversity information science and standards::2019,2019,2019,
proceeding::iforest : biogeosciences and forestry::2018,2018,2018,
"proceeding::2025 2nd international conference on software, systems and information technology (ssitcon)::2025",2025,2025,
proceeding::rheumatology::2019,2019,2019,
"proceeding::sustainability accounting, management and policy journal::2023",2023,2023,
proceeding::north american journal of fisheries management::2018,2018,2018,
proceeding::iop conference series: earth and environment::2019,2019,2019,
proceeding::cureus::2021,2021,2021,
proceeding::free radical biology & medicine::2020,2020,2020,
proceeding::cardiovascular and interventional radiology::2017,2017,2017,
proceeding::water::2020,2020,2020,
proceeding::abi-technik::2021,2021,2021,
"proceeding::industrielle beziehungen. zeitschrift für arbeit, organisation und management::2022",2022,2022,
