from,to,type
0000383df2587759015a21b7e2fee7f1457e6405,basic and clinical andrology,PUBLISHED_IN
0000dded179cda3c259a9465fb47eb88583bb06e,patient education and counseling,PUBLISHED_IN
0000f016ff8372dc234d4d34b9f9896c273a6b19,(jems) jurnal entrepreneur dan manajemen sains,PUBLISHED_IN
0000f18d11ffb78b2d813750f93ddcfaeb7d4463,iet renewable power generation,PUBLISHED_IN
0001147c55f3dc487d3a561bff8f0bbcb84f6468,bmc emergency medicine,PUBLISHED_IN
000129438252392dacee1de2938ff38e4691d4a6,contemporary clinical trials,PUBLISHED_IN
000141aeb58a8cfb10474f3438599d668196a69e,marine policy,PUBLISHED_IN
00015b42bcd8b3a0efde56052de13763e005a0bc,indus journal of social sciences,PUBLISHED_IN
0001670a1471a4b8efd132ccd4b589e6325f2c05,video journal of biomedicine,PUBLISHED_IN
0001a1e268f6a1b33e2aeff85d3ad0a003048e18,surgical endoscopy,PUBLISHED_IN
0001d8de7be1d0f2c93f0c8e10a27d88cc7c7667,bmc palliative care,PUBLISHED_IN
0001f3b4aa4e0f7e60a5a3a966261a6a7ba77bc3,clinical ophthalmology,PUBLISHED_IN
000209cd97f65eb8cf1b2ac1d62df2d87c7ac9a2,frontiers in medical technology,PUBLISHED_IN
000299ed88172682bc24f41bcba4cce0bb45e7d7,proceedings of the 2019 european conference on computing in construction,PUBLISHED_IN
0002cbd4c4129b3f74cba985f1da99ca11d76cdc,international journal of environmental research and public health,PUBLISHED_IN
0002d8c44c02c7da981f0dbf774bb58f4fdf4e9b,texila international journal of public health,PUBLISHED_IN
0002dc92b3bc83bbb8411d430c79d26964bef923,al-rabwah,PUBLISHED_IN
0002f985e76aa4c63c8954fcb76dd816a3359110,2020 5th international conference on electromechanical control technology and transportation (icectt),PUBLISHED_IN
0002fd244c9b4170bfb63c1549d20f568e090fc5,journal of hypertension,PUBLISHED_IN
000312ca10073b790e9e681750fcba091ea94947,journal of clinical medicine,PUBLISHED_IN
0003219044b222ea0f8e2db4d5a2c105decaf9ef,ieee international conference on industrial engineering and engineering management,PUBLISHED_IN
00032715f8b87c796acb0c9d4b2269bac0ef4dff,journal of ethnopharmacology,PUBLISHED_IN
00032e9c30a0ec16ac8fea7a728a8079f699fe0b,medrxiv,PUBLISHED_IN
000330d4d302ae6acc60ad7869f7061c62f67df3,asian-australasian journal of food safety and security,PUBLISHED_IN
0003362dda66fb17f79daad6e65d2274d3d13186,forests,PUBLISHED_IN
0003447b8f0eef091ac0d4d8725433aaf4bfc047,international journal of agriculture environment and bioresearch,PUBLISHED_IN
00034798649c97cae875af2c2d228bea0dd27860,anesthesia and analgesia,PUBLISHED_IN
00034b4097d2f3dee45358c803cf3f30354683c6,british journal of surgery,PUBLISHED_IN
00036822fe5ecd1ccf738cc7405e0f5bfa8ad642,asme journal of heat and mass transfer,PUBLISHED_IN
000369242bdd9e0402a19e1acc0dfb27240a0cca,cochrane database of systematic reviews,PUBLISHED_IN
000370cff10dfc558d69c3b9dd1143b4d97f8988,problems and perspectives in management,PUBLISHED_IN
00039d929a30c80bfb827b7a35b97a4c83b3bbad,kanzo,PUBLISHED_IN
0003a83114bd235008f8d559cf37ae408c8cf8d5,international journal of disaster resilience in the built environment,PUBLISHED_IN
