from,to,type
00004a906cd066059838ce2a39f41db637b188f9,"proceeding::acm sigmobile international conference on mobile systems, applications, and services::2012",PUBLISHED_IN
0000f016ff8372dc234d4d34b9f9896c273a6b19,proceeding::(jems) jurnal entrepreneur dan manajemen sains::2022,PUBLISHED_IN
0000f18d11ffb78b2d813750f93ddcfaeb7d4463,proceeding::iet renewable power generation::2019,PUBLISHED_IN
0000f222b7cf6a56d603608e97f3a34227a28171,proceeding::earth systems and environment::2025,PUBLISHED_IN
000141aeb58a8cfb10474f3438599d668196a69e,proceeding::marine policy::2022,PUBLISHED_IN
0001670a1471a4b8efd132ccd4b589e6325f2c05,proceeding::video journal of biomedicine::2023,PUBLISHED_IN
0001d57c1bdd8c1f5cf7de06b8ceb186b1388a20,"proceeding::2025 5th international conference on innovative research in applied science, engineering and technology (iraset)::2025",PUBLISHED_IN
0002227729a22397eb53368ea7a3408b6e887784,proceeding::2014 ieee international conference on pervasive computing and communication workshops (percom workshops)::2014,PUBLISHED_IN
000299ed88172682bc24f41bcba4cce0bb45e7d7,proceeding::proceedings of the 2019 european conference on computing in construction::2019,PUBLISHED_IN
0002b68402c0c4eea932b871e82e803db0a55991,proceeding::ukrainian journal on library and information science::2018,PUBLISHED_IN
0002f985e76aa4c63c8954fcb76dd816a3359110,proceeding::2020 5th international conference on electromechanical control technology and transportation (icectt)::2020,PUBLISHED_IN
0002fd244c9b4170bfb63c1549d20f568e090fc5,proceeding::journal of hypertension::2023,PUBLISHED_IN
0003110d118cd283d2aebb180e7f216c56fdf8d1,proceeding::weed science::1996,PUBLISHED_IN
000330d4d302ae6acc60ad7869f7061c62f67df3,proceeding::asian-australasian journal of food safety and security::2020,PUBLISHED_IN
0003362dda66fb17f79daad6e65d2274d3d13186,proceeding::forests::2019,PUBLISHED_IN
0003447b8f0eef091ac0d4d8725433aaf4bfc047,proceeding::international journal of agriculture environment and bioresearch::2020,PUBLISHED_IN
00034798649c97cae875af2c2d228bea0dd27860,proceeding::anesthesia and analgesia::2019,PUBLISHED_IN
00034b4097d2f3dee45358c803cf3f30354683c6,proceeding::british journal of surgery::2021,PUBLISHED_IN
000356dc78c3ff57940a76bb442b1c854b6d3c1a,proceeding::international conference on intelligent cloud computing::2025,PUBLISHED_IN
0003624cfa1c22d0280751cb2997f581f2b9ef11,proceeding::british journal of dermatology::2000,PUBLISHED_IN
000370cff10dfc558d69c3b9dd1143b4d97f8988,proceeding::problems and perspectives in management::2023,PUBLISHED_IN
00039d929a30c80bfb827b7a35b97a4c83b3bbad,proceeding::kanzo::2021,PUBLISHED_IN
0003fe6aede061fcc03c313dd38f68387adfef52,proceeding::fisheries research::2018,PUBLISHED_IN
00043ebdf59fbe88328078e9f7895cfa12a14887,proceeding::indian journal of neurotrauma::2021,PUBLISHED_IN
00044739ad9ed2d30b6434cb86a65b087f242bb4,proceeding::journal of the japanese association of rural medicine::2019,PUBLISHED_IN
0004c41d2edc6e3c5722b0e0ba117f913ff2318f,proceeding::internal medicine journal (print)::2015,PUBLISHED_IN
0004c99626346c5420f690468b63253edb2fb3c4,proceeding::jane - jurnal administrasi negara::2022,PUBLISHED_IN
0004f38af0cafa82023d8ac95853c885fb4a1cff,proceeding::frontiers in oncology::2021,PUBLISHED_IN
00053931b6bb48ed778edb3d0eaf5de1adc78cf8,proceeding::international journal of productivity and performance management::2022,PUBLISHED_IN
00056636e9826dd4a7f66cbbc8947162bd9141b4,proceeding::bmc medical education::2020,PUBLISHED_IN
0005acc470aaf9993320fd839a93d16d8a2038f2,proceeding::lecture notes in computer science::1996,PUBLISHED_IN
0005bc924539b3f557a5ddf803851185371ff891,proceeding::lékař a technika::2020,PUBLISHED_IN
0005ca425ed75f4bb364719468fa5103c2dbadac,proceeding::transportation research part c: emerging technologies::2019,PUBLISHED_IN
00062b41119d8000ef8509f23e34cc9d7ffd81ff,"proceeding::ieee uttar pradesh section international conference on electrical, computer and electronics engineering::2021",PUBLISHED_IN
000638c8a107b87dc14e8daab80794f3ae740d14,proceeding::the international journal of science and society::2022,PUBLISHED_IN
000665c9c322f837d62c6a00f37ce6431093af3a,proceeding::intelligent systems and networks::2021,PUBLISHED_IN
0006e2ad5d26d7e86999fb5ee61ebf8d71cce354,proceeding::diversity::2023,PUBLISHED_IN
000713f7dda32829a4d6de756552b7e3d6339cbe,"proceeding::nephrology, dialysis and transplantation::2020",PUBLISHED_IN
0007149b9206211f3055f9eb9286caf91fa799a4,proceeding::american journal of industrial and business management::2022,PUBLISHED_IN
00072f85ae966702ac3f0f89c7120507d15663ca,proceeding::journal of soil and water conservation::2011,PUBLISHED_IN
00073994565966ec46eb7978c8147d36b11da011,proceeding::jurnal manajemen agribisnis (journal of agribusiness management)::2021,PUBLISHED_IN
00079f5229cb06a2cada2702d3ff4430e7bb7fa8,proceeding::apcc/mdmc '04. the 2004 joint conference of the 10th asia-pacific conference on communications and the 5th international symposium on multi-dimensional mobile communications proceeding::2004,PUBLISHED_IN
0007d313a5119fb22fd3a66cdff4abae8c184e08,proceeding::proceedings of the 8th international congress on environmental geotechnics volume 2::2018,PUBLISHED_IN
0007e9c7a9a05bc1ba7237d7c000a481e7d63da1,proceeding::applied sciences::2022,PUBLISHED_IN
0007ec4b9dc15ae60529f19488f119c118fe5b18,proceeding::lecture notes in computer science::2003,PUBLISHED_IN
00085df6534ef484b7d7c0deb3a54e9795b4efa6,"proceeding::2009 ieee international symposium on a world of wireless, mobile and multimedia networks & workshops::2009",PUBLISHED_IN
000887cb7656f3ef1b78a4fe44696990fa99badc,proceeding::revista argentina de cardiología::2018,PUBLISHED_IN
0008a7f9d3534f5b1eda1bcd01b0ff0b7fc81426,proceeding::tree genetics & genomes::2014,PUBLISHED_IN
0008b1b591a42de36bac0fa13101cbf7c96b7685,proceeding::osteoporosis international::2017,PUBLISHED_IN
0008bf871cf9ba41dc3003439f313c8f57556d9d,proceeding::european journal of forest research::2012,PUBLISHED_IN
0008de6528e0abe8f5c22c9e449d6363d6a466c3,proceeding::nature genetics::1998,PUBLISHED_IN
0008f069cf3e6a2a37b572f1a0990b68bc31e119,proceeding::revista amazonía investiga::2021,PUBLISHED_IN
00092a36a0c0d524226559881f945a571f758a61,proceeding::proceedings of the 6th international conference on management science and management innovation (msmi 2019)::2019,PUBLISHED_IN
00096538184874b971205483bbfad211a6d17eac,proceeding::international workshop on quality of service::2010,PUBLISHED_IN
0009b861f56bd6f2154b54d3d48149d93204b0f6,proceeding::2025 7th international conference on electrical engineering and control technologies (ceect)::2025,PUBLISHED_IN
0009db0475a5bf7be31f957996cae913c7851904,"proceeding::international conference on wireless communications, networking and mobile computing::2008",PUBLISHED_IN
0009f68da28932c8236cc3fcc17b718260bcb1c1,proceeding::zbornik radova::2024,PUBLISHED_IN
0009fe9d748d890cf40a6f736b006309eca8bf95,proceeding::bmj global health::2016,PUBLISHED_IN
000a6e6b88fc6da08c8e87b3c45c2f7f257548f2,proceeding::revista interamericana de bibliotecología::2018,PUBLISHED_IN
000a8c4b3bfb167812197845c4b800094449cfca,proceeding::indian journal of gastroenterology::2021,PUBLISHED_IN
000ac6f4632ebed77a1b9178ad258387f5af3b49,proceeding::cases on digital strategies and management issues in modern organizations::2022,PUBLISHED_IN
000acd591eecc1ef8237fdae2cfe6af3646f983a,proceeding::journal of pure and applied microbiology::2021,PUBLISHED_IN
000b0a06fcf910b22326cd06e5aac5e666db5a43,proceeding::international journal of academic research in business and social sciences::2019,PUBLISHED_IN
000b21586159cce55dd0b83daba1a36c4ef7f762,proceeding::jurnal teknologi  dan sistem informasi bisnis::2021,PUBLISHED_IN
000b5fa79dcb0f011e335e63e719a3ce0964fe20,proceeding::new directions in cultural policy research::2021,PUBLISHED_IN
000b6af684be953c84dba02eb0e6dfecbe5a6468,proceeding::asia pacific journal of tourism research::2018,PUBLISHED_IN
000b8997f185535491642baad00f6b072a936138,"proceeding::international conference on intelligent transportation, big data and smart city::2020",PUBLISHED_IN
000ba1b23fb361c7918711cf8d45c74c3a90caa5,proceeding::international journal of ethics and systems::2021,PUBLISHED_IN
000c2e3f80250c6c34fd152de88513c082f87c41,proceeding::gut::2012,PUBLISHED_IN
000c4a9c085ecd68b4c5f38547d936e381e925cb,proceeding::hydrobiologia::2005,PUBLISHED_IN
000c54aa4ae7f2109fb5d2a04a4d3f04a37eb588,proceeding::pharmaceutical medicine::2020,PUBLISHED_IN
000c68797c622c00b8f3b112cc01d45022b5e123,proceeding::ieee conference of russian young researchers in electrical and electronic engineering::2019,PUBLISHED_IN
000c737622144c285bb71feceb64831f147afc88,proceeding::international journal of advances in scientific research and engineering::2019,PUBLISHED_IN
000caab378ee4a5379d01451687d51651f7b6fe8,proceeding::african journal of range and forage science::2020,PUBLISHED_IN
000caf9ac3538d112332784861e6a321ef73b460,proceeding::hydrobiologia::2002,PUBLISHED_IN
000cb2505fbf72832eca289313177c6632614fea,proceeding::simulations in medicine::2020,PUBLISHED_IN
000d43e9027e39a34512e4d7a41cbac558f12dd2,proceeding::le journal de la renaissance::2018,PUBLISHED_IN
000d4da298b50d6007af6058c2f2ffc408e15fbe,proceeding::aquatic sciences::2015,PUBLISHED_IN
000d7262e99a1c9ed3fae8f00e8243290a5bf001,proceeding::anesthesia and analgesia::1999,PUBLISHED_IN
000e14e08fb007ef5fb1b494550d0df1e972e911,proceeding::journal of contingencies and crisis management::2020,PUBLISHED_IN
000e401b2d296c6daa702e66e908082b2aee324a,proceeding::highlights in science engineering and technology::2022,PUBLISHED_IN
000e613a0b05b29a54fef31f6f2bca49e2061b2c,"proceeding::2012 international conference on smart grid technology, economics and policies (sg-tep)::2012",PUBLISHED_IN
000e67efcfac2cb9f5c536574cd8baea22097457,proceeding::agricultural water management::2018,PUBLISHED_IN
000e78f19379655b33aaf7329d27657d2d8db300,proceeding::international journal artificial intelligent and informatics::2018,PUBLISHED_IN
000e84a83c5e65dae786978699781f8bf3c75b8e,proceeding::jurnal basicedu::2021,PUBLISHED_IN
000ea587f470e27887c09c565f7b2d0e21ba623a,proceeding::south florida journal of development::2021,PUBLISHED_IN
000eed64f34e81cb1d212ffd2208ae698c89ba72,proceeding::thermal science::2020,PUBLISHED_IN
000fdc1565bcdcb15270b644d95cd554de82a9d4,proceeding::international journal of advanced research::2023,PUBLISHED_IN
0010110e322b5ed622e9a57ff2aed1b092b3cf9e,proceeding::sustainability::2021,PUBLISHED_IN
0010439b2227182fc0265ad89249c3182cdc8b25,proceeding::teaching english and language learning english journal (telle)::2021,PUBLISHED_IN
001073927f55df7ed2fd5711c1d9843f7cb2404b,proceeding::bmj supportive & palliative care::2014,PUBLISHED_IN
00111c66bf150dee9620cf4719919e5b25a098b2,proceeding::journal of pharmaceutical research international::2021,PUBLISHED_IN
00117586cebb647b418f11dcbbfa457d1454e923,proceeding::journal of soil and water conservation::2019,PUBLISHED_IN
0011775c82786ccb8b87aee9d35d5faba5a68536,proceeding::pharmaceutical & diagnostic innovation::2012,PUBLISHED_IN
001186edfb0fd21f4b6a3216c158fe08d260bebb,"proceeding::journal of the geographical institute jovan cvijic, sasa::2019",PUBLISHED_IN
00118978fe7ce69566084ebd723bb18ef08b57ba,proceeding::ssr institute of international journal of life sciences::2019,PUBLISHED_IN
0011db7fcfd578b5b51245f7d42ba5c76b585c1b,proceeding::agricultural science::2021,PUBLISHED_IN
0011ec6af3a69b5be94c591d3b490cf71036e369,proceeding::sustainability::2021,PUBLISHED_IN
0011edca7f156e915c4e80c4371d478a1a387eb1,proceeding::e3s web of conferences::2020,PUBLISHED_IN
0012248ec25dd1ee029d3d7cd0e304965dbef103,proceeding::american journal of perinatology reports::2019,PUBLISHED_IN
00122e5dd5361e1a055fed69ec0d6d5af7dc615c,proceeding::british medical journal::2003,PUBLISHED_IN
001255f812856e7842b9713f37c4bd940e9b271a,proceeding::2025 ieee 5th international conference on sustainable energy and future electric transportation (sefet)::2025,PUBLISHED_IN
00127492cdf6c111a20f0cb7205d66678611c592,proceeding::cdmw '12::2012,PUBLISHED_IN
0012cce1000c24c73b6d9fac75e1694b4e565de6,"proceeding::synergizing management, technology and innovation in generating sustainable and competitive business growth::2021",PUBLISHED_IN
0012fc60f969e8be173555c951c6d783dccfd003,"proceeding::the journal of nutrition, health & aging::2020",PUBLISHED_IN
00132c835ba2f92e33817ceeca71314e9f8cbb4e,proceeding::proceedings of the 2024 6th blockchain and internet of things conference::2024,PUBLISHED_IN
0013a3921eca1385ad23619a628d2b91dac895d7,proceeding::biodiversity information science and standards::2019,PUBLISHED_IN
00145e122df9acbe707266a95b846050fb3a6168,proceeding::iforest : biogeosciences and forestry::2018,PUBLISHED_IN
0014747d600dd6e5126854e2ce2166ff35378f6f,"proceeding::2025 2nd international conference on software, systems and information technology (ssitcon)::2025",PUBLISHED_IN
001489820a77467aa4ea0e168ba45b89cd81b059,proceeding::rheumatology::2019,PUBLISHED_IN
0014974312dfd8d2985037f9c6e053ca5316ef84,"proceeding::sustainability accounting, management and policy journal::2023",PUBLISHED_IN
00149a8e1bf2ec13a499115989636330aae2e2ea,proceeding::north american journal of fisheries management::2018,PUBLISHED_IN
00149e106c4732f80cfe4cd7e9cafa7962010419,proceeding::iop conference series: earth and environment::2019,PUBLISHED_IN
0014d495d3258c652f579c0c9afd64f5f582ad03,proceeding::cureus::2021,PUBLISHED_IN
0014d94f6cfe7a8833b2ac6220e8af47696a15d6,proceeding::free radical biology & medicine::2020,PUBLISHED_IN
0014da9544d21ac1395ce1c5599e8b568bd42c63,proceeding::cardiovascular and interventional radiology::2017,PUBLISHED_IN
0014f952ad661367259ff97ee0edacf3e510991f,proceeding::water::2020,PUBLISHED_IN
0015080982a9567ba2156129e288a39a3ba7363f,proceeding::abi-technik::2021,PUBLISHED_IN
00154f4ececeef833c9a35f15ab293b1e273458c,"proceeding::industrielle beziehungen. zeitschrift für arbeit, organisation und management::2022",PUBLISHED_IN
00156d464f2090156ee550c0ce0c7be7e74e2ed2,proceeding::technical  mechanics::2021,PUBLISHED_IN
0015e53810da920b382b529dd57c8e95e0e93023,proceeding::proceedings of the international academic conference on frontiers in social sciences and management innovation (iafsm 2019)::2020,PUBLISHED_IN
0016113ab7c150924e30a0b40f25a6361e792cb8,proceeding::proceedings of the 29th eg-ice international workshop on intelligent computing in engineering::2022,PUBLISHED_IN
001655a792dd467d4f1276e4d541d1c897ab6ed3,proceeding::encyclopedia of personality and individual differences::2020,PUBLISHED_IN
001657e159f64ea77d1297e7e0de952da93fd8a9,proceeding::future foods::2021,PUBLISHED_IN
001666ad6b1f1e60dbb47d6d6614a7d91f5dcc81,proceeding::international journal of current science research and review::2022,PUBLISHED_IN
0016ab017bc6b9f5d2ddaad6f8481918209e5099,proceeding::international conference on measuring technology and mechatronics automation::2016,PUBLISHED_IN
0016bfbfb917c8057e8c2be345a7da514756a9e3,proceeding::information security solutions europe::2012,PUBLISHED_IN
0016f8ceff8a9e24a300d3b48629c9ce4620e31b,proceeding::e3s web of conferences::2021,PUBLISHED_IN
001720a782840652b573bb4794774aee826510ca,proceeding::systems and information engineering design symposium::2024,PUBLISHED_IN
00175aab2871ca9a4a825072f26d3a05ac966934,"proceeding::2021 9th international conference on reliability, infocom technologies and optimization (trends and future directions) (icrito)::2021",PUBLISHED_IN
001808394f9f4cb124edfcf524c1866a29bb6f33,proceeding::the jps jewish heritage torah commentary::2021,PUBLISHED_IN
001825d27b5dd827af6bac25699f92c258bfaf53,proceeding::2017 23rd annual international conference in advanced computing and communications (adcom)::2017,PUBLISHED_IN
00182a1caa15604a468e7f433f70f6ae89a2ef28,proceeding::ieee international conference on industrial engineering and engineering management::2009,PUBLISHED_IN
001833f130bdc2b1547a3c8896cf1d920dcaab89,proceeding::energies::2018,PUBLISHED_IN
