venueId,name
basic and clinical andrology,Basic and Clinical Andrology
patient education and counseling,Patient Education and Counseling
(jems) jurnal entrepreneur dan manajemen sains,(JEMS) Jurnal Entrepreneur dan Manajemen Sains
iet renewable power generation,IET Renewable Power Generation
bmc emergency medicine,BMC Emergency Medicine
contemporary clinical trials,Contemporary Clinical Trials
marine policy,Marine Policy
indus journal of social sciences,Indus Journal of Social Sciences
video journal of biomedicine,Video Journal of Biomedicine
surgical endoscopy,Surgical Endoscopy
bmc palliative care,BMC Palliative Care
clinical ophthalmology,Clinical Ophthalmology
frontiers in medical technology,Frontiers in Medical Technology
proceedings of the 2019 european conference on computing in construction,Proceedings of the 2019 European Conference on Computing in Construction
international journal of environmental research and public health,International Journal of Environmental Research and Public Health
texila international journal of public health,TEXILA INTERNATIONAL JOURNAL OF PUBLIC HEALTH
al-rabwah,Al-Rabwah
2020 5th international conference on electromechanical control technology and transportation (icectt),2020 5th International Conference on Electromechanical Control Technology and Transportation (ICECTT)
journal of hypertension,Journal of Hypertension
journal of clinical medicine,Journal of Clinical Medicine
ieee international conference on industrial engineering and engineering management,IEEE International Conference on Industrial Engineering and Engineering Management
journal of ethnopharmacology,Journal of Ethnopharmacology
medrxiv,medRxiv
asian-australasian journal of food safety and security,Asian-Australasian journal of food safety and security
forests,Forests
international journal of agriculture environment and bioresearch,International Journal of Agriculture Environment and Bioresearch
anesthesia and analgesia,Anesthesia and Analgesia
british journal of surgery,British Journal of Surgery
asme journal of heat and mass transfer,ASME Journal of Heat and Mass Transfer
cochrane database of systematic reviews,Cochrane Database of Systematic Reviews
problems and perspectives in management,Problems and Perspectives in Management
kanzo,Kanzo
international journal of disaster resilience in the built environment,International Journal of Disaster Resilience in the Built Environment
environmental science and pollution research international,Environmental science and pollution research international
biosfer: jurnal tadris biologi,Biosfer: Jurnal Tadris Biologi
journal of islamic economics,Journal of Islamic Economics
italian national conference on sensors,Italian National Conference on Sensors
indian journal of neurotrauma,Indian Journal of Neurotrauma
ieee international geoscience and remote sensing symposium,IEEE International Geoscience and Remote Sensing Symposium
journal of the japanese association of rural medicine,JOURNAL OF THE JAPANESE ASSOCIATION OF RURAL MEDICINE
transplantation direct,Transplantation Direct
pain research and management,Pain Research and Management
jane - jurnal administrasi negara,JANE - Jurnal Administrasi Negara
acm/ieee international conference on model driven engineering languages and systems,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems
frontiers in oncology,Frontiers in Oncology
south eastern european journal of public health,South Eastern European Journal of Public Health
international journal of productivity and performance management,International Journal of Productivity and Performance Management
bmc medical education,BMC Medical Education
animals,Animals
be-hisz,BE-HISZ
aslib journal of information management,Aslib Journal of Information Management
international journal of health planning and management,International Journal of Health Planning and Management
lékař a technika,Lékař a technika
transportation research part c: emerging technologies,Transportation Research Part C: Emerging Technologies
transactions on emerging telecommunications technologies,Transactions on Emerging Telecommunications Technologies
journal of governance innovation,Journal of Governance Innovation
strategic journal of business &amp; change management,Strategic Journal of Business &amp; Change Management
journal of business & economics research,Journal of Business & Economics Research
"ieee uttar pradesh section international conference on electrical, computer and electronics engineering","IEEE Uttar Pradesh Section International Conference on Electrical, Computer and Electronics Engineering"
the international journal of science and society,The International Journal of Science and Society
jurnal ilmiah pariwisata dan bisnis,Jurnal Ilmiah Pariwisata dan Bisnis
intelligent systems and networks,Intelligent Systems and Networks
ajr. american journal of roentgenology,AJR. American journal of roentgenology
brain pathology,Brain Pathology
diversity,Diversity
"nephrology, dialysis and transplantation","Nephrology, Dialysis and Transplantation"
american journal of industrial and business management,American Journal of Industrial and Business Management
clincal and experimental dermatology,Clincal and Experimental Dermatology
jurnal manajemen agribisnis (journal of agribusiness management),JURNAL MANAJEMEN AGRIBISNIS (Journal Of Agribusiness Management)
ijebd (international journal of entrepreneurship and business development),IJEBD (International Journal of Entrepreneurship and Business Development)
journal of oral rehabilitation,Journal of Oral Rehabilitation
"international journal of education, learning and development","International journal of education, learning and development"
arxiv.org,arXiv.org
journal on spesial topics in mobile networks and applications,Journal on spesial topics in mobile networks and applications
journal of humanitarian logistics and supply chain management,Journal of Humanitarian Logistics and Supply Chain Management
international journal of environmental science,International Journal of Environmental Science
management sciences,Management Sciences
applied sciences,Applied Sciences
cureus,Cureus
ieee international symposium on distributed simulation and real-time applications,IEEE International Symposium on Distributed Simulation and Real-Time Applications
revista amazonía investiga,Revista Amazonía investiga
ingeniería y universidad,Ingeniería y Universidad
manazhim,MANAZHIM
indian journal of psychiatric nursing,Indian Journal of Psychiatric Nursing
proceedings of the 6th international conference on management science and management innovation (msmi 2019),Proceedings of the 6th International Conference on Management Science and Management Innovation (MSMI 2019)
syst.,Syst.
"jurnal ekonomi bisnis, manajemen dan akuntansi","Jurnal Ekonomi Bisnis, Manajemen dan Akuntansi"
cancer causes and control,Cancer Causes and Control
zbornik radova,Zbornik radova
ieee access,IEEE Access
e3s web of conferences,E3S Web of Conferences
complex & intelligent systems,Complex & Intelligent Systems
vietnam journal of education,Vietnam Journal of Education
water resources management,Water resources management
journal of neurological sciences,Journal of Neurological Sciences
indian journal of gastroenterology,Indian Journal of Gastroenterology
international brazilian journal of urology,International Brazilian Journal of Urology
cases on digital strategies and management issues in modern organizations,Cases on Digital Strategies and Management Issues in Modern Organizations
journal of pure and applied microbiology,Journal of Pure and Applied Microbiology
journal of rawalpindi medical college,Journal of Rawalpindi Medical College
international journal of academic research in business and social sciences,International Journal of Academic Research in Business and Social Sciences
clinical nutrition espen,Clinical Nutrition ESPEN
jurnal teknologi  dan sistem informasi bisnis,Jurnal Teknologi  Dan Sistem Informasi Bisnis
zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi
journal of extracellular biology,Journal of Extracellular Biology
new directions in cultural policy research,New Directions in Cultural Policy Research
international journal of research in business and social science,International Journal of Research In Business and Social Science
international journal of computer science in sport,International Journal of Computer Science in Sport
